Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AAPL,10/31/18,216.88,220.45,216.62,218.86,38320612,5.56,2.61%
AAPL,10/30/18,211.15,215.18,209.27,213.30,36639606,1.06,0.50%
AAPL,10/29/18,219.19,219.69,206.09,212.24,45882319,-4.06,-1.88%
AAPL,10/26/18,215.90,220.19,212.67,216.30,47258300,-3.50,-1.59%
AAPL,10/25/18,217.71,221.38,216.75,219.80,29695716,4.71,2.19%
AAPL,10/24/18,222.60,224.23,214.54,215.09,40813984,-7.64,-3.43%
AAPL,10/23/18,215.83,223.25,214.70,222.73,38729014,2.08,0.94%
AAPL,10/22/18,219.79,223.36,218.94,220.65,28778931,1.34,0.61%
AAPL,10/19/18,218.06,221.26,217.43,219.31,33078700,3.29,1.52%
AAPL,10/18/18,217.86,219.74,213.00,216.02,32550478,-5.17,-2.34%
AAPL,10/17/18,222.30,222.64,219.34,221.19,22868320,-0.96,-0.43%
AAPL,10/16/18,218.93,222.99,216.76,222.15,29170931,4.79,2.20%
AAPL,10/15/18,221.16,221.83,217.27,217.36,30762753,-4.75,-2.14%
AAPL,10/12/18,220.42,222.88,216.84,222.11,40337800,7.66,3.57%
AAPL,10/11/18,214.52,219.50,212.32,214.45,53104570,-1.91,-0.88%
AAPL,10/10/18,225.46,226.35,216.05,216.36,41916044,-10.51,-4.63%
AAPL,10/09/18,223.64,227.27,222.25,226.87,26881569,3.10,1.39%
AAPL,10/08/18,222.21,224.80,220.20,223.77,29657979,-0.52,-0.23%
AAPL,10/05/18,227.96,228.41,220.58,224.29,33580400,-3.70,-1.62%
AAPL,10/04/18,230.78,232.35,226.73,227.99,32032578,-4.08,-1.76%
AAPL,10/03/18,230.05,233.47,229.78,232.07,28640160,2.79,1.22%
AAPL,10/02/18,227.25,230.00,226.63,229.28,24771506,2.02,0.89%
AAPL,10/01/18,227.95,229.42,226.35,227.26,23594430,1.52,0.67%
AAPL,09/28/18,224.79,225.84,224.02,225.74,22929300,0.79,0.35%
AAPL,09/27/18,223.82,226.44,223.54,224.95,29770641,4.53,2.06%
AAPL,09/26/18,221.00,223.75,219.76,220.42,23973352,-1.77,-0.80%
AAPL,09/25/18,219.75,222.82,219.70,222.19,24535224,1.40,0.63%
AAPL,09/24/18,216.82,221.26,216.63,220.79,27682759,3.13,1.44%
AAPL,09/21/18,220.78,221.36,217.29,217.66,96246700,-2.37,-1.08%
AAPL,09/20/18,220.24,222.28,219.15,220.03,26597584,1.66,0.76%
AAPL,09/19/18,218.50,219.62,215.30,218.37,27112484,0.13,0.06%
AAPL,09/18/18,217.79,221.85,217.12,218.24,31554853,0.36,0.17%
AAPL,09/17/18,222.15,222.95,217.27,217.88,37131137,-5.96,-2.66%
AAPL,09/14/18,225.75,226.84,222.52,223.84,31999200,-2.57,-1.14%
AAPL,09/13/18,223.52,228.35,222.57,226.41,41605484,5.34,2.42%
AAPL,09/12/18,224.94,225.00,219.84,221.07,49259936,-2.78,-1.24%
AAPL,09/11/18,218.01,224.30,216.56,223.85,35724948,5.52,2.53%
AAPL,09/10/18,220.95,221.85,216.47,218.33,39506573,-2.97,-1.34%
AAPL,09/07/18,221.85,225.37,220.71,221.30,37619800,-1.80,-0.81%
AAPL,09/06/18,226.23,227.35,221.30,223.10,34273178,-3.77,-1.66%
AAPL,09/05/18,228.99,229.67,225.10,226.87,33319740,-1.49,-0.65%
AAPL,09/04/18,228.41,229.18,226.63,228.36,27382263,0.73,0.32%
AAPL,08/31/18,,227.63,227.63,227.63,0,2.60,1.16%
AAPL,08/30/18,223.25,228.26,222.40,225.03,48772237,2.05,0.92%
AAPL,08/29/18,220.15,223.49,219.41,222.98,27243751,3.28,1.49%
AAPL,08/28/18,219.01,220.54,218.92,219.70,22759967,1.76,0.81%
AAPL,08/27/18,217.15,218.74,216.33,217.94,20519381,1.78,0.82%
AAPL,08/24/18,216.60,216.90,215.11,216.16,18476300,0.67,0.31%
AAPL,08/23/18,214.65,217.05,214.60,215.49,18876176,0.44,0.20%
AAPL,08/22/18,214.10,216.36,213.84,215.05,19009656,0.01,0.00%
AAPL,08/21/18,216.80,217.19,214.02,215.04,26143156,-0.42,-0.19%
AAPL,08/20/18,218.10,219.18,215.11,215.46,30275441,-2.12,-0.97%
AAPL,08/17/18,213.44,217.95,213.16,217.58,35426900,4.26,2.00%
AAPL,08/16/18,211.75,213.81,211.47,213.32,28492653,3.08,1.46%
AAPL,08/15/18,209.22,210.74,208.33,210.24,28784876,0.49,0.23%
AAPL,08/14/18,210.15,210.56,208.26,209.75,20727206,0.88,0.42%
AAPL,08/13/18,207.70,210.95,207.70,208.87,25881121,1.34,0.65%
AAPL,08/10/18,207.36,209.10,206.67,207.53,24611200,-1.35,-0.65%
AAPL,08/09/18,207.28,209.78,207.20,208.88,23479991,1.63,0.79%
AAPL,08/08/18,206.05,207.81,204.52,207.25,22508235,0.14,0.07%
AAPL,08/07/18,209.32,209.50,206.76,207.11,25564786,-1.96,-0.94%
AAPL,08/06/18,208.00,209.25,207.07,209.07,25414580,1.08,0.52%
AAPL,08/03/18,207.03,208.74,205.48,207.99,33447300,0.60,0.29%
AAPL,08/02/18,200.58,208.38,200.35,207.39,62374782,5.89,2.92%
AAPL,08/01/18,199.13,201.76,197.31,201.50,67893456,11.21,5.89%
AAPL,07/31/18,190.30,192.14,189.34,190.29,39065494,0.38,0.20%
AAPL,07/30/18,191.90,192.20,189.07,189.91,21014642,-1.07,-0.56%
AAPL,07/27/18,194.99,195.19,190.10,190.98,24023900,-3.23,-1.66%
AAPL,07/26/18,194.61,195.96,193.70,194.21,19064483,-0.61,-0.31%
AAPL,07/25/18,,194.85,192.43,194.82,16812981,1.82,0.94%
AAPL,07/24/18,192.45,193.66,192.05,193.00,18695180,1.39,0.73%
AAPL,07/23/18,190.68,191.96,189.56,191.61,15982471,0.17,0.09%
AAPL,07/20/18,,192.43,190.17,191.44,20706042,-0.44,-0.23%
AAPL,07/19/18,189.69,192.55,189.69,191.88,20281559,1.48,0.78%
AAPL,07/18/18,191.78,191.80,189.93,190.40,16383980,-1.05,-0.55%
AAPL,07/17/18,189.75,191.87,189.20,191.45,15531983,0.54,0.28%
AAPL,07/16/18,191.52,192.65,190.41,190.91,15034926,-0.42,-0.22%
AAPL,07/13/18,,,,191.33,12519792,0.30,0.16%
AAPL,07/12/18,189.53,191.41,189.31,191.03,18018015,3.15,1.68%
AAPL,07/11/18,188.50,189.78,187.61,187.88,18820542,-2.47,-1.30%
AAPL,07/10/18,190.71,191.28,190.18,190.35,15886837,-0.23,-0.12%
AAPL,07/09/18,189.50,190.62,189.30,190.58,19737321,2.61,1.39%
AAPL,07/06/18,,188.43,185.20,187.97,17485245,2.57,1.39%
AAPL,07/05/18,185.26,186.41,184.30,185.40,16598976,1.48,0.80%
AAPL,07/03/18,,183.92,183.92,183.92,0,-3.26,-1.74%
AAPL,07/02/18,183.82,187.30,183.48,187.18,17729224,2.07,1.12%
AAPL,06/29/18,186.29,187.19,182.91,185.11,22737666,-0.39,-0.21%
AAPL,06/28/18,184.10,186.21,183.80,185.50,17362769,1.34,0.73%
AAPL,06/27/18,185.23,187.28,184.03,184.16,25276422,-0.27,-0.15%
AAPL,06/26/18,182.99,186.53,182.54,184.43,24546616,2.26,1.24%
AAPL,06/25/18,183.40,184.92,180.73,182.17,31649457,-2.75,-1.49%
AAPL,06/22/18,186.12,186.15,184.70,184.92,27200447,-0.54,-0.29%
AAPL,06/21/18,187.25,188.35,184.98,185.46,25707173,-1.04,-0.56%
AAPL,06/20/18,186.35,187.20,185.73,186.50,20616813,0.81,0.44%
AAPL,06/19/18,185.14,186.33,183.45,185.69,33561580,-3.05,-1.62%
AAPL,06/18/18,187.88,189.22,187.21,188.74,18467215,-0.10,-0.05%
AAPL,06/15/18,,190.80,188.26,188.84,61719160,-1.96,-1.03%
AAPL,06/14/18,191.55,191.57,190.22,190.80,21599888,0.10,0.05%
AAPL,06/13/18,192.42,192.88,190.44,190.70,21634767,-1.58,-0.82%
AAPL,06/12/18,191.38,192.61,191.15,192.28,16898420,1.05,0.55%
AAPL,06/11/18,191.35,191.97,190.21,191.23,18301638,-0.47,-0.25%
AAPL,06/08/18,191.17,192.00,189.77,191.70,26656799,-1.76,-0.91%
AAPL,06/07/18,194.14,194.20,192.34,193.46,21340130,-0.52,-0.27%
AAPL,06/06/18,,194.08,191.92,193.98,20925496,0.67,0.35%
AAPL,06/05/18,193.07,193.94,192.36,193.31,21561649,1.48,0.77%
AAPL,06/04/18,191.63,193.42,191.35,191.83,26253357,1.59,0.84%
AAPL,06/01/18,187.99,190.26,187.75,190.24,23442510,3.37,1.80%
AAPL,05/31/18,187.22,188.23,186.14,186.87,27477538,-0.63,-0.34%
AAPL,05/30/18,187.72,188.00,186.78,187.50,18686869,-0.40,-0.21%
AAPL,05/29/18,187.60,188.75,186.87,187.90,22507457,-0.68,-0.36%
AAPL,05/25/18,,188.58,188.58,188.58,0,0.43,0.23%
AAPL,05/24/18,188.77,188.84,186.21,188.15,23228294,-0.21,-0.11%
AAPL,05/23/18,186.35,188.50,185.76,188.36,20045283,1.20,0.64%
AAPL,05/22/18,188.38,188.88,186.78,187.16,15237109,-0.47,-0.25%
AAPL,05/21/18,188.00,189.27,186.91,187.63,18398108,1.32,0.71%
AAPL,05/18/18,187.19,187.81,186.13,186.31,18297728,-0.68,-0.36%
AAPL,05/17/18,188.00,188.91,186.36,186.99,17290633,-1.19,-0.63%
AAPL,05/16/18,186.07,188.46,186.00,188.18,19179259,1.74,0.93%
AAPL,05/15/18,186.78,187.07,185.10,186.44,23676070,-1.71,-0.91%
AAPL,05/14/18,189.01,189.53,187.86,188.15,20769121,-0.44,-0.23%
AAPL,05/11/18,189.49,190.06,187.45,188.59,26212221,-1.45,-0.76%
AAPL,05/10/18,187.74,190.37,187.65,190.04,27969077,2.68,1.43%
AAPL,05/09/18,186.55,187.40,185.22,187.36,23200900,1.31,0.70%
AAPL,05/08/18,184.99,186.22,183.66,186.05,28390545,0.89,0.48%
AAPL,05/07/18,185.18,187.67,184.75,185.16,42525901,1.33,0.72%
AAPL,05/04/18,178.25,184.25,178.17,183.83,56201317,6.94,3.92%
AAPL,05/03/18,175.88,177.50,174.44,176.89,34049734,0.32,0.18%
AAPL,05/02/18,175.23,177.75,173.80,176.57,66513337,7.47,4.42%
AAPL,05/01/18,166.41,169.20,165.27,169.10,53427619,3.84,2.32%
AAPL,04/30/18,162.13,167.26,161.84,165.26,42387444,2.94,1.81%
AAPL,04/27/18,164.00,164.33,160.63,162.32,35655839,-1.90,-1.16%
AAPL,04/26/18,164.12,165.73,163.37,164.22,27955415,0.57,0.35%
AAPL,04/25/18,162.62,165.42,162.41,163.65,28367714,0.71,0.44%
AAPL,04/24/18,165.67,166.33,161.22,162.94,33687417,-2.30,-1.39%
AAPL,04/23/18,166.83,166.92,164.09,165.24,36490651,-0.48,-0.29%
AAPL,04/20/18,170.60,171.22,165.43,165.72,65491140,-7.08,-4.10%
AAPL,04/19/18,173.76,175.39,172.66,172.80,34786033,-5.04,-2.83%
AAPL,04/18/18,177.81,178.82,176.88,177.84,20749698,-0.40,-0.22%
AAPL,04/17/18,176.49,178.94,176.41,178.24,26600126,2.42,1.38%
AAPL,04/16/18,175.03,176.19,174.83,175.82,21569731,1.09,0.62%
AAPL,04/13/18,174.78,175.84,173.85,174.73,25124255,0.59,0.34%
AAPL,04/12/18,173.41,175.00,173.04,174.14,22877789,1.70,0.99%
