Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AAP,08/01/18,140.52,141.44,139.66,139.75,540245,-1.48,-1.05%
AAP,07/31/18,140.87,141.98,139.80,141.23,463060,0.55,0.39%
AAP,07/30/18,139.85,141.40,139.59,140.68,428140,0.83,0.59%
AAP,07/27/18,142.41,143.13,139.43,139.85,370200,-1.93,-1.36%
AAP,07/26/18,141.00,143.81,140.32,141.78,775800,1.31,0.93%
AAP,07/25/18,139.40,140.65,138.67,140.47,794834,0.48,0.34%
AAP,07/24/18,145.10,145.15,139.47,139.99,800442,-4.67,-3.23%
AAP,07/23/18,142.14,145.20,142.14,144.66,686119,1.99,1.39%
AAP,07/20/18,142.85,143.44,141.73,142.67,585824,-0.70,-0.49%
AAP,07/19/18,139.85,143.70,139.44,143.37,1123743,3.40,2.43%
AAP,07/18/18,140.19,140.84,139.09,139.97,685799,-0.31,-0.22%
AAP,07/17/18,139.15,141.29,139.15,140.28,809195,0.61,0.44%
AAP,07/16/18,139.67,140.54,139.02,139.67,505125,0.33,0.24%
AAP,07/13/18,139.30,141.70,138.92,139.34,835048,0.55,0.40%
AAP,07/12/18,140.37,140.89,138.18,138.79,441237,-0.29,-0.21%
AAP,07/11/18,139.82,139.82,136.37,139.08,710315,-1.57,-1.12%
AAP,07/10/18,140.94,141.91,139.40,140.65,963282,-0.30,-0.21%
AAP,07/09/18,137.59,141.58,137.47,140.95,950825,3.78,2.76%
AAP,07/06/18,137.22,138.00,136.02,137.17,889463,1.31,0.96%
AAP,07/05/18,135.44,135.90,134.00,135.86,957037,0.85,0.63%
AAP,07/03/18,,135.01,135.01,135.01,0,0.31,0.23%
AAP,07/02/18,135.00,135.16,133.42,134.70,662522,-1.00,-0.74%
AAP,06/29/18,135.81,137.87,135.27,135.70,725284,0.59,0.44%
AAP,06/28/18,134.20,136.18,133.32,135.11,1039760,0.73,0.54%
AAP,06/27/18,137.12,137.69,134.01,134.38,1124442,-2.69,-1.96%
AAP,06/26/18,137.52,139.17,136.46,137.07,745614,-0.20,-0.15%
AAP,06/25/18,137.94,137.99,135.21,137.27,915908,-1.58,-1.14%
AAP,06/22/18,143.42,143.42,137.81,138.85,1407869,-0.65,-0.47%
AAP,06/21/18,139.10,140.10,137.79,139.50,783795,0.34,0.24%
AAP,06/20/18,139.20,140.22,137.47,139.16,849557,0.86,0.62%
AAP,06/19/18,136.90,139.17,136.40,138.30,986094,0.06,0.04%
AAP,06/18/18,136.14,138.38,135.83,138.24,1229853,1.08,0.79%
AAP,06/15/18,,137.33,133.50,137.16,1652852,3.66,2.74%
AAP,06/14/18,133.27,133.99,132.57,133.50,816165,0.82,0.62%
AAP,06/13/18,133.37,133.58,131.49,132.68,771070,-0.96,-0.72%
