Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AMD,10/31/18,17.87,18.34,17.12,18.21,110382362,1.01,5.87%
AMD,10/30/18,16.38,17.24,16.17,17.20,98975637,0.49,2.93%
AMD,10/29/18,18.21,18.23,16.27,16.71,94385619,-0.92,-5.22%
AMD,10/26/18,18.49,18.78,17.05,17.63,119688900,-1.64,-8.51%
AMD,10/25/18,17.92,20.15,17.72,19.27,189080700,-3.52,-15.45%
AMD,10/24/18,25.04,25.10,22.75,22.79,133538537,-2.30,-9.17%
AMD,10/23/18,24.18,25.26,23.85,25.09,101664556,0.06,0.24%
AMD,10/22/18,24.46,25.64,24.09,25.03,114026637,1.37,5.79%
AMD,10/19/18,27.03,27.10,23.60,23.66,130799800,-2.96,-11.12%
AMD,10/18/18,27.08,27.75,26.40,26.62,79579325,-0.68,-2.49%
AMD,10/17/18,28.41,28.53,26.92,27.30,89408856,-0.88,-3.12%
AMD,10/16/18,26.63,28.23,26.17,28.18,92343619,1.92,7.31%
AMD,10/15/18,26.38,26.77,25.75,26.26,70444745,-0.08,-0.30%
AMD,10/12/18,26.77,26.97,25.67,26.34,111059400,1.04,4.11%
AMD,10/11/18,24.74,26.20,24.55,25.30,146855038,0.30,1.20%
AMD,10/10/18,27.38,27.40,24.91,25.00,147250763,-2.24,-8.22%
AMD,10/09/18,26.15,27.71,26.00,27.24,105292575,0.81,3.06%
AMD,10/08/18,26.73,27.54,25.96,26.43,103679516,-0.92,-3.36%
AMD,10/05/18,28.07,28.47,26.93,27.35,88008400,-0.43,-1.55%
AMD,10/04/18,27.99,28.83,27.37,27.78,95803481,-0.65,-2.29%
AMD,10/03/18,29.04,29.22,26.54,28.43,190061888,-0.59,-2.03%
AMD,10/02/18,30.73,30.82,28.65,29.02,144996450,-2.40,-7.64%
AMD,10/01/18,30.69,31.91,30.25,31.42,94708119,0.53,1.72%
AMD,09/28/18,32.24,32.78,29.98,30.89,165453400,-1.61,-4.95%
AMD,09/27/18,31.86,32.63,31.39,32.50,87830066,0.31,0.96%
AMD,09/26/18,32.40,32.60,31.72,32.19,79268994,-0.38,-1.17%
AMD,09/25/18,33.18,33.60,32.19,32.57,118449025,-0.22,-0.67%
AMD,09/24/18,31.13,32.65,30.91,32.79,118189892,1.77,5.71%
AMD,09/21/18,31.19,32.42,30.91,31.02,129792900,-0.16,-0.51%
AMD,09/20/18,32.10,32.20,30.64,31.18,122970700,-0.03,-0.10%
AMD,09/19/18,31.52,31.83,30.51,31.21,124201725,-0.72,-2.25%
AMD,09/18/18,32.99,33.37,31.20,31.93,176496767,-0.50,-1.54%
AMD,09/17/18,31.75,33.23,31.60,32.43,180098088,-0.29,-0.89%
AMD,09/14/18,31.43,33.09,30.54,32.72,217762800,2.24,7.35%
AMD,09/13/18,33.16,34.14,29.87,30.48,303823400,-1.73,-5.37%
AMD,09/12/18,29.91,32.29,29.45,32.21,197677375,2.11,7.01%
AMD,09/11/18,30.02,30.59,29.37,30.10,159782838,0.21,0.70%
AMD,09/10/18,28.15,29.92,27.84,29.89,162129675,2.51,9.17%
AMD,09/07/18,26.96,28.27,26.80,27.38,123348700,-0.46,-1.65%
AMD,09/06/18,28.12,28.58,27.19,27.84,143708500,-0.67,-2.35%
AMD,09/05/18,29.41,29.94,26.84,28.51,257200550,0.45,1.60%
AMD,09/04/18,25.62,28.11,25.57,28.06,192363925,2.89,11.48%
AMD,08/31/18,,25.17,25.17,25.17,0,0.28,1.12%
AMD,08/30/18,25.29,25.67,24.76,24.89,103486725,-0.31,-1.23%
AMD,08/29/18,24.36,25.41,24.01,25.20,143152288,0.15,0.60%
AMD,08/28/18,25.51,26.18,24.04,25.05,215587125,-0.21,-0.83%
AMD,08/27/18,24.94,27.30,24.63,25.26,324773025,1.28,5.34%
AMD,08/24/18,22.91,24.00,22.67,23.98,164328100,1.69,7.58%
AMD,08/23/18,21.19,22.32,21.14,22.29,113217862,1.39,6.65%
AMD,08/22/18,20.28,20.92,20.21,20.90,61957156,0.50,2.45%
AMD,08/21/18,19.98,20.42,19.86,20.40,55529975,0.42,2.10%
AMD,08/20/18,19.79,20.08,19.35,19.98,62944356,0.21,1.06%
