Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AMS,08/01/18,2.970,2.984,2.950,2.984,1232,0.03,1.16%
AMS,07/31/18,2.950,2.993,2.950,2.950,1996,-0.00,-0.14%
AMS,07/30/18,2.970,2.970,2.950,2.954,6316,0.00,0.14%
AMS,07/27/18,3.020,3.050,2.950,2.950,7400,-0.10,-3.33%
AMS,07/26/18,3.050,3.080,3.010,3.051,3154,-0.05,-1.56%
AMS,07/25/18,3.130,3.225,3.050,3.100,72777,0.04,1.24%
AMS,07/24/18,2.949,3.100,2.949,3.062,26330,0.11,3.83%
AMS,07/23/18,2.900,2.950,2.900,2.949,15281,0.02,0.82%
AMS,07/20/18,2.950,2.950,2.900,2.925,6048,0.02,0.86%
AMS,07/19/18,2.850,2.950,2.850,2.900,12411,0.05,1.64%
AMS,07/18/18,2.850,2.900,2.800,2.853,19704,0.02,0.82%
AMS,07/17/18,2.850,2.900,2.800,2.830,11063,0.04,1.34%
AMS,07/16/18,2.792,2.792,2.792,2.792,435,0.09,3.43%
AMS,07/13/18,2.800,2.800,2.700,2.700,3725,-0.10,-3.57%
AMS,07/12/18,2.800,2.849,2.749,2.800,12125,0.04,1.45%
AMS,07/11/18,2.800,2.800,2.750,2.760,1512,0.01,0.36%
AMS,07/10/18,2.741,2.800,2.741,2.750,2575,0.00,0.00%
AMS,07/09/18,2.850,2.850,2.725,2.750,40041,-0.05,-1.79%
AMS,07/06/18,2.700,2.800,2.700,2.800,10532,0.10,3.70%
AMS,07/05/18,2.700,2.700,2.700,2.700,235,0.00,0.00%
AMS,07/03/18,,2.700,2.700,2.700,0,0.05,1.89%
AMS,07/02/18,2.750,2.770,2.650,2.650,3109,-0.10,-3.64%
AMS,06/29/18,2.650,2.750,2.650,2.750,508,0.10,3.77%
AMS,06/28/18,2.550,2.700,2.550,2.650,15826,0.10,3.92%
AMS,06/27/18,2.700,2.700,2.550,2.550,4516,-0.10,-3.77%
AMS,06/26/18,2.650,2.747,2.650,2.650,20202,0.00,0.00%
AMS,06/25/18,2.650,2.650,2.650,2.650,128,0.00,0.00%
AMS,06/22/18,2.700,2.700,2.650,2.650,674,-0.09,-3.13%
AMS,06/21/18,2.736,2.736,2.736,2.736,255,-0.01,-0.43%
AMS,06/20/18,2.650,2.750,2.650,2.748,4286,0.05,1.76%
AMS,06/19/18,2.700,2.725,2.700,2.700,4767,-0.05,-1.82%
AMS,06/18/18,2.700,2.800,2.695,2.750,45837,-0.05,-1.79%
AMS,06/15/18,2.651,2.800,2.651,2.800,4077,0.12,4.46%
AMS,06/14/18,2.650,2.680,2.650,2.680,1312,0.03,1.15%
AMS,06/13/18,2.750,2.750,2.650,2.650,623,-0.10,-3.64%
AMS,06/12/18,2.750,2.750,2.700,2.750,11799,0.10,3.77%
AMS,06/11/18,2.650,2.700,2.600,2.650,8868,0.00,0.00%
AMS,06/08/18,2.700,2.700,2.500,2.650,19003,-0.05,-1.85%
AMS,06/07/18,2.600,2.800,2.600,2.700,16580,0.00,0.00%
AMS,06/06/18,2.800,2.850,2.350,2.700,38100,-0.10,-3.57%
AMS,06/05/18,2.800,2.800,2.751,2.800,21376,0.01,0.27%
AMS,06/04/18,2.850,2.850,2.750,2.792,7435,-0.01,-0.27%
AMS,06/01/18,2.745,2.850,2.715,2.800,12003,0.02,0.90%
AMS,05/31/18,2.751,2.775,2.751,2.775,1131,0.02,0.91%
AMS,05/30/18,2.750,2.800,2.750,2.750,2014,0.00,0.00%
AMS,05/29/18,2.750,2.800,2.750,2.750,15440,-0.01,-0.30%
AMS,05/25/18,,2.758,2.758,2.758,0,-0.04,-1.49%
AMS,05/24/18,2.825,2.850,2.750,2.800,3590,-0.02,-0.60%
AMS,05/23/18,2.850,2.850,2.817,2.817,1203,-0.03,-1.16%
AMS,05/22/18,2.800,2.900,2.797,2.850,6560,-0.01,-0.22%
AMS,05/21/18,2.800,2.900,2.800,2.856,21815,0.11,3.82%
AMS,05/18/18,2.750,2.751,2.750,2.751,1617,0.00,0.07%
AMS,05/17/18,2.758,2.825,2.749,2.749,37118,0.05,1.81%
AMS,05/16/18,2.750,2.799,2.700,2.700,8418,0.01,0.33%
AMS,05/15/18,2.750,2.750,2.691,2.691,608,-0.01,-0.33%
AMS,05/14/18,2.700,2.750,2.600,2.700,22164,-0.08,-2.86%
AMS,05/11/18,2.950,2.950,2.600,2.780,12765,-0.11,-3.91%
AMS,05/10/18,2.900,2.949,2.814,2.893,56314,0.22,8.12%
AMS,05/09/18,2.475,2.800,2.475,2.675,44967,0.18,7.01%
AMS,05/08/18,2.500,2.525,2.481,2.500,16279,0.00,0.00%
AMS,05/07/18,2.400,2.500,2.335,2.500,22656,0.13,5.30%
AMS,05/04/18,2.350,2.400,2.350,2.374,494,0.00,0.18%
AMS,05/03/18,2.400,2.400,2.362,2.370,2253,-0.03,-1.25%
AMS,05/02/18,2.325,2.400,2.300,2.400,26028,0.10,4.35%
AMS,05/01/18,2.300,2.350,2.262,2.300,10141,-0.05,-2.13%
AMS,04/30/18,2.343,2.400,2.300,2.350,40657,-0.05,-1.89%
AMS,04/27/18,2.400,2.400,2.395,2.395,1024,-0.00,-0.19%
AMS,04/26/18,2.400,2.400,2.400,2.400,818,0.05,1.92%
AMS,04/25/18,2.400,2.400,2.355,2.355,1956,-0.06,-2.40%
AMS,04/24/18,2.405,2.480,2.400,2.413,10004,0.03,1.36%
AMS,04/23/18,2.450,2.450,2.350,2.380,9152,-0.05,-2.01%
AMS,04/20/18,2.487,2.487,2.412,2.429,3432,-0.07,-2.84%
AMS,04/19/18,2.350,2.500,2.350,2.500,4894,0.15,6.38%
AMS,04/18/18,2.400,2.400,2.350,2.350,13806,-0.05,-2.08%
AMS,04/17/18,2.483,2.483,2.400,2.400,6286,-0.05,-2.04%
AMS,04/16/18,2.500,2.500,2.402,2.450,3689,0.00,0.00%
AMS,04/13/18,2.450,2.450,2.450,2.450,658,0.05,2.08%
AMS,04/12/18,2.500,2.500,2.400,2.400,7346,-0.10,-4.00%
AMS,04/11/18,2.350,2.500,2.350,2.500,10167,0.15,6.38%
AMS,04/10/18,2.400,2.400,2.300,2.350,8884,0.00,0.00%
AMS,04/09/18,2.550,2.550,2.250,2.350,25677,-0.05,-2.08%
AMS,04/06/18,2.462,2.462,2.344,2.400,16112,-0.15,-5.88%
AMS,04/05/18,2.488,2.550,2.413,2.550,4236,0.15,6.25%
AMS,04/04/18,2.400,2.400,2.391,2.400,11464,0.00,0.00%
AMS,04/03/18,2.600,2.600,2.400,2.400,30169,-0.15,-5.88%
AMS,04/02/18,2.650,2.650,2.580,2.550,1817,0.00,0.00%
AMS,03/29/18,,2.550,2.550,2.550,0,-0.05,-1.92%
AMS,03/28/18,2.650,2.650,2.550,2.600,6420,0.00,0.00%
AMS,03/27/18,2.734,2.741,2.550,2.600,15473,-0.15,-5.46%
AMS,03/26/18,2.750,2.806,2.750,2.750,42776,0.05,1.85%
AMS,03/23/18,2.600,2.706,2.600,2.700,20966,0.00,0.00%
AMS,03/22/18,2.583,2.750,2.583,2.700,20153,0.10,3.85%
AMS,03/21/18,2.550,2.600,2.550,2.600,6813,0.00,0.00%
AMS,03/20/18,2.624,2.624,2.550,2.600,2011,0.00,0.00%
AMS,03/19/18,2.551,2.600,2.550,2.600,4334,0.05,1.96%
AMS,03/16/18,2.602,2.650,2.550,2.550,2298,-0.05,-1.92%
AMS,03/15/18,2.600,2.600,2.505,2.600,758,0.00,0.00%
AMS,03/14/18,2.525,2.600,2.525,2.600,8950,0.05,1.96%
AMS,03/13/18,2.600,2.600,2.550,2.550,7496,-0.05,-1.92%
AMS,03/12/18,2.600,2.600,2.551,2.600,3898,0.00,0.00%
AMS,03/09/18,2.500,2.600,2.500,2.600,8630,0.05,2.12%
AMS,03/08/18,2.550,2.550,2.525,2.546,23562,-0.00,-0.16%
AMS,03/07/18,,,,2.550,2769,0.00,0.00%
AMS,03/06/18,2.550,2.600,2.550,2.550,3185,0.00,0.00%
AMS,03/05/18,2.600,2.634,2.550,2.550,2087,-0.05,-1.92%
AMS,03/02/18,2.555,2.650,2.550,2.600,1397,0.00,0.00%
AMS,03/01/18,2.550,2.600,2.550,2.600,7905,0.05,1.96%
AMS,02/28/18,2.600,2.600,2.550,2.550,1094,0.00,0.00%
AMS,02/27/18,2.600,2.600,2.550,2.550,2025,-0.05,-1.92%
AMS,02/26/18,2.600,2.600,2.550,2.600,2814,0.00,0.00%
AMS,02/23/18,2.600,2.600,2.550,2.600,3694,0.05,1.96%
AMS,02/22/18,2.550,2.550,2.550,2.550,150,-0.00,-0.00%
AMS,02/21/18,2.562,2.572,2.550,2.550,3459,-0.05,-1.92%
AMS,02/20/18,2.550,2.550,2.500,2.600,9575,0.00,0.00%
AMS,02/16/18,,2.600,2.600,2.600,0,0.00,0.00%
AMS,02/15/18,2.600,2.600,2.600,2.600,1290,0.00,0.00%
AMS,02/14/18,2.550,2.600,2.538,2.600,4132,0.05,1.96%
AMS,02/13/18,2.500,2.598,2.500,2.550,9464,-0.05,-1.92%
AMS,02/12/18,2.503,2.600,2.450,2.600,12191,0.05,1.96%
AMS,02/09/18,2.550,2.550,2.500,2.550,4258,0.05,2.00%
AMS,02/08/18,2.600,2.600,2.500,2.500,16567,-0.11,-4.31%
AMS,02/07/18,2.700,2.710,2.600,2.612,3276,-0.04,-1.42%
AMS,02/06/18,2.550,2.650,2.550,2.650,12542,0.00,0.00%
AMS,02/05/18,,2.650,2.650,2.650,470,0.00,0.00%
AMS,02/02/18,2.700,2.700,2.650,2.650,6175,-0.05,-1.85%
AMS,02/01/18,2.700,2.700,2.700,2.700,631,0.00,0.00%
AMS,01/31/18,2.800,2.800,2.695,2.700,6180,0.03,0.93%
AMS,01/30/18,2.750,2.760,2.650,2.675,5776,-0.03,-0.93%
AMS,01/29/18,2.750,2.750,2.700,2.700,5861,-0.05,-1.81%
AMS,01/26/18,2.802,2.802,2.750,2.750,3929,-0.10,-3.51%
AMS,01/25/18,2.900,2.900,2.850,2.850,2389,-0.02,-0.59%
AMS,01/24/18,2.750,2.867,2.750,2.867,28872,0.12,4.25%
AMS,01/23/18,2.750,2.800,2.701,2.750,9181,-0.04,-1.50%
AMS,01/22/18,2.750,2.792,2.745,2.792,6466,-0.00,-0.06%
AMS,01/19/18,2.796,2.799,2.750,2.793,7892,0.06,2.19%
AMS,01/18/18,2.816,2.825,2.700,2.734,19310,-0.02,-0.60%
AMS,01/17/18,2.700,2.750,2.650,2.750,9208,0.00,0.00%
AMS,01/16/18,2.700,2.750,2.700,2.750,6724,0.05,1.85%
AMS,01/12/18,,2.700,2.700,2.700,0,-0.05,-1.82%
AMS,01/11/18,2.753,2.800,2.750,2.750,10190,-0.04,-1.49%
AMS,01/10/18,2.782,2.792,2.775,2.792,2311,0.04,1.51%
AMS,01/09/18,2.800,2.800,2.750,2.750,536,-0.06,-2.23%
AMS,01/08/18,2.850,2.850,2.800,2.813,18674,-0.04,-1.30%
AMS,01/05/18,2.900,2.900,2.800,2.850,22289,0.05,1.78%
AMS,01/04/18,2.800,2.850,2.700,2.800,43832,0.15,5.66%
AMS,01/03/18,2.550,2.650,2.550,2.650,27447,0.10,3.92%
AMS,01/02/18,2.575,2.600,2.550,2.550,11506,-0.05,-1.79%
AMS,12/29/17,,2.596,2.596,2.596,0,0.03,1.35%
AMS,12/28/17,2.650,2.650,2.500,2.562,41650,-0.10,-3.62%
AMS,12/27/17,2.662,2.694,2.650,2.658,7256,-0.01,-0.41%
AMS,12/26/17,2.550,2.699,2.550,2.669,18069,0.02,0.72%
AMS,12/22/17,2.750,2.750,2.600,2.650,2695,-0.10,-3.64%
AMS,12/21/17,2.523,2.700,2.450,2.750,38537,0.25,10.00%
AMS,12/19/17,,2.500,2.500,2.500,73,-0.05,-1.92%
AMS,12/18/17,2.500,2.549,2.500,2.549,16057,0.05,1.96%
AMS,12/15/17,2.500,2.600,2.500,2.500,5081,-0.05,-1.96%
AMS,12/14/17,2.500,2.566,2.500,2.550,1063,-0.01,-0.21%
AMS,12/13/17,2.452,2.555,2.452,2.555,8764,-0.04,-1.72%
AMS,12/12/17,2.500,2.600,2.500,2.600,19560,0.05,1.96%
AMS,12/11/17,2.500,2.550,2.500,2.550,6448,0.01,0.59%
AMS,12/08/17,2.500,2.550,2.500,2.535,9099,-0.02,-0.59%
AMS,12/07/17,2.650,2.650,2.550,2.550,14795,-0.10,-3.77%
AMS,12/06/17,2.600,2.650,2.600,2.650,7222,0.02,0.94%
AMS,12/05/17,2.600,2.625,2.600,2.625,6514,-0.02,-0.70%
AMS,12/04/17,,2.650,2.550,2.644,24158,0.09,3.68%
AMS,12/01/17,2.516,2.550,2.500,2.550,22142,0.00,0.00%
AMS,11/30/17,2.550,2.600,2.500,2.550,29110,0.01,0.24%
AMS,11/29/17,2.588,2.600,2.500,2.544,19066,0.01,0.41%
AMS,11/28/17,2.600,2.600,2.500,2.534,41396,-0.07,-2.55%
AMS,11/27/17,2.600,2.600,2.600,2.600,568,-0.10,-3.70%
AMS,11/24/17,2.700,2.700,2.600,2.700,1460,0.05,1.89%
AMS,11/22/17,2.659,2.700,2.650,2.650,1866,0.05,1.92%
AMS,11/21/17,2.601,2.650,2.600,2.600,6935,0.00,0.00%
AMS,11/20/17,2.700,2.700,2.550,2.600,68244,-0.10,-3.70%
AMS,11/17/17,2.750,2.750,2.700,2.700,5569,-0.05,-1.82%
AMS,11/16/17,2.800,2.800,2.750,2.750,469,-0.05,-1.78%
AMS,11/15/17,2.750,2.800,2.750,2.800,7910,0.05,1.81%
AMS,11/14/17,2.750,2.787,2.750,2.750,2320,-0.05,-1.79%
AMS,11/13/17,2.650,2.800,2.650,2.800,55657,-0.20,-6.67%
AMS,11/10/17,3.050,3.100,3.000,3.000,15187,-0.05,-1.64%
AMS,11/09/17,3.066,3.066,3.000,3.050,16285,0.05,1.67%
AMS,11/08/17,3.100,3.100,3.000,3.000,4336,-0.05,-1.64%
AMS,11/07/17,3.072,3.078,3.000,3.050,15794,-0.00,-0.00%
AMS,11/06/17,3.100,3.100,3.050,3.050,15231,-0.02,-0.67%
AMS,11/03/17,3.050,3.071,3.050,3.071,398,0.02,0.68%
AMS,11/02/17,3.050,3.100,3.050,3.050,9820,0.00,0.00%
AMS,11/01/17,3.000,3.050,3.000,3.050,6178,-0.05,-1.61%
AMS,10/31/17,3.030,3.100,3.000,3.100,2957,0.00,0.00%
AMS,10/30/17,3.000,3.150,3.000,3.100,13916,0.10,3.33%
AMS,10/27/17,3.000,3.050,3.000,3.000,9622,-0.10,-3.23%
AMS,10/26/17,3.150,3.150,3.100,3.100,7289,0.00,0.00%
AMS,10/25/17,3.100,3.125,3.052,3.100,6701,-0.00,-0.00%
AMS,10/24/17,3.150,3.150,3.000,3.100,40036,-0.05,-1.58%
AMS,10/23/17,3.100,3.200,3.100,3.150,16067,0.05,1.62%
AMS,10/20/17,3.050,3.103,3.050,3.100,8982,0.10,3.33%
AMS,10/19/17,3.100,3.191,3.000,3.000,49526,-0.06,-1.86%
AMS,10/18/17,3.100,3.100,3.050,3.057,5238,0.01,0.23%
AMS,10/17/17,2.993,3.050,2.993,3.050,9041,0.04,1.25%
AMS,10/16/17,2.967,3.012,2.967,3.012,15959,0.06,2.08%
AMS,10/13/17,3.050,3.050,2.950,2.951,18861,-0.05,-1.63%
AMS,10/12/17,2.950,3.050,2.950,3.000,18588,0.10,3.45%
AMS,10/11/17,,2.950,2.900,2.900,9377,-0.05,-1.69%
AMS,10/10/17,2.950,2.950,2.900,2.950,6496,0.01,0.23%
AMS,10/09/17,2.925,2.956,2.925,2.943,12404,-0.01,-0.23%
AMS,10/06/17,2.950,2.968,2.900,2.950,28059,0.00,0.00%
AMS,10/05/17,3.032,3.032,2.950,2.950,14396,-0.07,-2.48%
AMS,10/04/17,3.000,3.050,3.000,3.025,21890,0.02,0.83%
AMS,10/03/17,2.992,3.050,2.900,3.000,50898,0.00,0.12%
AMS,10/02/17,2.900,3.000,2.900,2.996,53376,0.15,5.13%
AMS,09/29/17,2.900,2.950,2.850,2.850,7839,-0.08,-2.75%
AMS,09/28/17,2.900,2.950,2.900,2.930,1899,-0.02,-0.66%
AMS,09/27/17,2.957,2.957,2.950,2.950,1219,0.02,0.77%
AMS,09/26/17,2.950,2.950,2.900,2.927,2275,-0.02,-0.77%
AMS,09/25/17,2.950,3.000,2.950,2.950,8614,-0.05,-1.67%
AMS,09/22/17,3.050,3.050,2.950,3.000,8286,-0.00,-0.01%
AMS,09/21/17,3.000,3.050,2.950,3.000,21527,0.00,0.01%
AMS,09/20/17,3.050,3.050,3.000,3.000,602,-0.05,-1.64%
AMS,09/19/17,3.000,3.100,3.000,3.050,28850,0.05,1.67%
AMS,09/18/17,3.050,3.050,2.951,3.000,11125,0.00,0.00%
AMS,09/15/17,3.000,3.000,2.968,3.000,8533,-0.05,-1.64%
AMS,09/14/17,3.050,3.050,2.950,3.050,34175,0.04,1.50%
AMS,09/13/17,2.950,3.050,2.950,3.005,31432,0.00,0.17%
AMS,09/12/17,2.835,3.000,2.800,3.000,8832,0.15,5.26%
AMS,09/11/17,2.850,2.900,2.800,2.850,6749,-0.05,-1.72%
AMS,09/08/17,2.850,2.950,2.850,2.900,11381,0.05,1.75%
AMS,09/07/17,3.050,3.050,2.850,2.850,34748,-0.15,-5.00%
AMS,09/06/17,2.950,3.050,2.950,3.000,11432,0.10,3.45%
AMS,09/05/17,2.900,3.000,2.900,2.900,16389,0.00,0.01%
AMS,09/01/17,2.887,2.900,2.887,2.900,2436,-0.00,-0.01%
AMS,08/31/17,2.850,2.950,2.850,2.900,15438,0.05,1.75%
AMS,08/30/17,2.850,2.900,2.850,2.850,3630,0.00,0.00%
AMS,08/29/17,2.850,2.900,2.850,2.850,7540,0.00,0.00%
AMS,08/28/17,2.950,2.950,2.850,2.850,17207,0.05,1.79%
AMS,08/25/17,2.800,2.846,2.800,2.800,6297,0.00,0.00%
AMS,08/24/17,2.850,2.850,2.779,2.800,14707,-0.04,-1.39%
AMS,08/23/17,2.900,2.900,2.775,2.839,14560,0.04,1.41%
