Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
AMZN,08/09/18,1882,1915,1877,1899,4858674,12.00,0.64%
AMZN,08/08/18,1861,1892,1854,1887,3959892,24.04,1.29%
AMZN,08/07/18,1855,1870,1846,1862,3374364,14.73,0.80%
AMZN,08/06/18,1826,1848,1819,1848,3390341,24.46,1.34%
AMZN,08/03/18,1838,1841,1822,1823,3460400,-11.04,-0.60%
AMZN,08/02/18,1789,1837,1786,1834,4352123,37.16,2.07%
AMZN,08/01/18,1784,1798,1776,1797,4149791,19.73,1.11%
AMZN,07/31/18,1786,1802,1739,1777,5733563,-1.78,-0.10%
AMZN,07/30/18,1827,1830,1766,1779,6560043,-38.05,-2.09%
AMZN,07/27/18,1876,1880,1807,1817,9680900,9.27,0.51%
AMZN,07/26/18,1839,1845,1804,1808,9895763,-55.61,-2.98%
AMZN,07/25/18,1829,1864,1823,1864,3819810,34.37,1.88%
AMZN,07/24/18,1829,1840,1809,1829,4276330,27.24,1.51%
AMZN,07/23/18,1812,1818,1770,1802,3883421,-11.70,-0.65%
AMZN,07/20/18,1825,1835,1810,1814,3891566,0.73,0.04%
AMZN,07/19/18,1829,1841,1811,1813,4673814,-29.95,-1.63%
AMZN,07/18/18,1848,1859,1831,1843,4860925,-1.01,-0.05%
AMZN,07/17/18,1812,1852,1797,1844,5677302,21.44,1.18%
AMZN,07/16/18,1822,1842,1814,1822,5457000,9.46,0.52%
AMZN,07/13/18,1804,1815,1795,1813,4386679,16.41,0.91%
AMZN,07/12/18,,1798,1762,1797,4526680,41.62,2.37%
AMZN,07/11/18,1738,1757,1734,1755,3203505,11.93,0.68%
AMZN,07/10/18,1739,1750,1732,1743,2989740,4.05,0.23%
AMZN,07/09/18,1724,1740,1720,1739,3007556,28.39,1.66%
AMZN,07/06/18,1696,1715,1692,1711,2650262,10.90,0.64%
AMZN,07/05/18,1705,1711,1682,1700,2981225,5.77,0.34%
AMZN,07/03/18,,1694,1694,1694,0,-19.82,-1.16%
AMZN,07/02/18,1683,1714,1678,1714,3185280,13.98,0.82%
AMZN,06/29/18,,1723,1694,1700,4543508,-1.65,-0.10%
AMZN,06/28/18,1673,1706,1661,1701,4527606,40.94,2.47%
AMZN,06/27/18,1708,1712,1660,1661,4869947,-30.58,-1.81%
AMZN,06/26/18,1672,1702,1663,1691,4382593,27.94,1.68%
AMZN,06/25/18,1703,1705,1646,1663,7508521,-52.52,-3.06%
AMZN,06/22/18,1743,1743,1712,1716,4075124,-14.55,-0.84%
AMZN,06/21/18,1760,1763,1718,1730,4938363,-19.86,-1.13%
AMZN,06/20/18,1742,1763,1741,1750,4329812,15.30,0.88%
AMZN,06/19/18,1709,1736,1700,1735,4287896,10.99,0.64%
AMZN,06/18/18,1706,1727,1703,1724,3103212,7.82,0.46%
AMZN,06/15/18,,1721,1724,1716,4777646,-7.89,-0.46%
AMZN,06/14/18,1713,1725,1709,1724,3172742,19.00,1.11%
AMZN,06/13/18,1703,1714,1700,1705,3325560,6.11,0.36%
AMZN,06/12/18,1693,1700,1692,1699,2255692,9.63,0.57%
AMZN,06/11/18,1682,1694,1681,1689,2332986,5.13,0.30%
AMZN,06/08/18,1681,1689,1673,1684,2955110,-5.31,-0.31%
AMZN,06/07/18,1699,1700,1676,1689,3759658,-6.45,-0.38%
AMZN,06/06/18,,,,1696,5471341,-0.60,-0.04%
AMZN,06/05/18,1673,1699,1670,1696,4780408,31.08,1.87%
AMZN,06/04/18,1649,1666,1645,1665,3185146,23.73,1.45%
AMZN,06/01/18,1637,1647,1635,1642,3313385,11.92,0.73%
AMZN,05/31/18,1623,1635,1621,1630,3160325,4.73,0.29%
AMZN,05/30/18,1618,1626,1613,1625,2905878,12.02,0.75%
AMZN,05/29/18,1601,1622,1600,1613,3842380,2.72,0.17%
AMZN,05/25/18,,1610,1610,1610,0,7.08,0.44%
AMZN,05/24/18,1598,1608,1588,1603,3426998,1.21,0.08%
AMZN,05/23/18,1571,1602,1566,1602,3358473,20.46,1.29%
AMZN,05/22/18,1590,1590,1575,1581,2054522,-4.06,-0.26%
AMZN,05/21/18,1585,1592,1575,1585,2924191,11.09,0.70%
AMZN,05/18/18,1581,1584,1572,1574,2642584,-7.39,-0.47%
AMZN,05/17/18,1581,1594,1573,1582,2144764,-5.52,-0.35%
AMZN,05/16/18,1578,1594,1577,1587,2569482,11.16,0.71%
AMZN,05/15/18,1588,1588,1565,1576,5074538,-25.42,-1.59%
AMZN,05/14/18,1604,1611,1600,1602,2508406,-1.37,-0.09%
AMZN,05/11/18,1611,1611,1598,1603,2263900,-6.17,-0.38%
AMZN,05/10/18,1608,1616,1603,1609,2814945,1.08,0.07%
AMZN,05/09/18,1600,1608,1592,1608,3634865,15.61,0.98%
AMZN,05/08/18,1595,1597,1583,1592,3044093,-7.75,-0.48%
AMZN,05/07/18,1589,1607,1588,1600,3803251,19.19,1.21%
AMZN,05/04/18,1562,1585,1562,1581,3443567,8.88,0.56%
AMZN,05/03/18,1560,1575,1546,1572,4249936,2.39,0.15%
AMZN,05/02/18,1581,1588,1566,1570,4357486,-12.58,-0.80%
AMZN,05/01/18,1563,1585,1552,1582,4563905,16.13,1.03%
AMZN,04/30/18,1582,1596,1561,1566,5461636,-6.49,-0.41%
AMZN,04/27/18,1634,1638,1567,1573,13053241,54.66,3.60%
AMZN,04/26/18,1485,1529,1478,1518,8742388,57.79,3.96%
AMZN,04/25/18,1458,1470,1415,1460,6579444,0.08,0.01%
AMZN,04/24/18,1536,1540,1448,1460,7490838,-57.77,-3.81%
AMZN,04/23/18,1547,1548,1503,1518,4459424,-9.63,-0.63%
AMZN,04/20/18,1561,1561,1516,1527,5541622,-29.42,-1.89%
AMZN,04/19/18,1543,1569,1539,1557,6517133,29.07,1.90%
AMZN,04/18/18,1515,1534,1504,1528,5205321,24.01,1.60%
AMZN,04/17/18,1462,1507,1457,1504,5105799,62.33,4.32%
AMZN,04/16/18,1445,1447,1427,1442,2804318,10.71,0.75%
AMZN,04/13/18,1449,1460,1425,1431,3685267,-17.71,-1.22%
AMZN,04/12/18,1440,1452,1435,1448,3129217,21.45,1.50%
AMZN,04/11/18,1439,1449,1425,1427,3577371,-9.17,-0.64%
AMZN,04/10/18,1432,1438,1416,1436,4276538,30.14,2.14%
AMZN,04/09/18,1425,1438,1403,1406,4204629,0.85,0.06%
AMZN,04/06/18,1430,1453,1400,1405,5882257,-46.52,-3.20%
AMZN,04/05/18,1442,1460,1427,1452,6317951,41.18,2.92%
AMZN,04/04/18,1358,1415,1353,1411,6976738,18.52,1.33%
AMZN,04/03/18,1391,1414,1355,1392,10221637,20.06,1.46%
AMZN,04/02/18,1418,1421,1355,1372,10458519,-75.35,-5.21%
AMZN,03/29/18,,1447,1447,1447,0,15.92,1.11%
AMZN,03/28/18,1447,1456,1386,1431,13699726,-65.63,-4.38%
AMZN,03/27/18,1572,1576,1482,1497,6985426,-58.81,-3.78%
AMZN,03/26/18,1530,1557,1499,1556,5617497,60.30,4.03%
AMZN,03/23/18,1539,1549,1495,1496,8006033,-49.36,-3.19%
AMZN,03/22/18,1565,1574,1542,1545,6293148,-36.94,-2.34%
AMZN,03/21/18,1586,1590,1563,1582,4749833,-4.65,-0.29%
AMZN,03/20/18,1550,1587,1545,1587,4570334,41.58,2.69%
AMZN,03/19/18,1555,1562,1527,1545,6573425,-26.75,-1.70%
AMZN,03/16/18,1583,1589,1568,1572,5425012,-10.64,-0.67%
AMZN,03/15/18,1595,1597,1578,1582,4065069,-8.68,-0.55%
AMZN,03/14/18,1597,1606,1591,1591,4255103,2.82,0.18%
AMZN,03/13/18,1616,1618,1578,1588,6529007,-10.21,-0.64%
AMZN,03/12/18,1593,1605,1587,1598,5170264,19.50,1.24%
AMZN,03/09/18,1564,1579,1559,1579,4534250,27.03,1.74%
AMZN,03/08/18,1550,1555,1545,1552,3816150,6.86,0.44%
AMZN,03/07/18,,1546,,1545,4167545,7.36,0.48%
AMZN,03/06/18,1533,1542,1528,1538,4483532,14.03,0.92%
AMZN,03/05/18,1494,1525,1481,1524,5230092,23.36,1.56%
AMZN,03/02/18,1469,1501,1455,1500,6587564,6.80,0.46%
AMZN,03/01/18,1514,1518,1465,1493,6829325,-19.00,-1.26%
AMZN,02/28/18,1520,1529,1512,1512,4503247,0.47,0.03%
AMZN,02/27/18,1524,1527,1507,1512,4801621,-9.97,-0.66%
AMZN,02/26/18,1509,1523,1507,1522,4948161,21.95,1.46%
AMZN,02/23/18,1495,1500,1486,1500,4418103,14.66,0.99%
AMZN,02/22/18,,,1476,1485,4807671,2.42,0.16%
AMZN,02/21/18,1485,1503,1479,1483,6275171,14.57,0.99%
AMZN,02/20/18,1446,1489,1446,1468,6485298,19.66,1.36%
