Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
BABA,08/10/18,175.57,180.45,174.75,180.01,22049100,2.82,1.59%
BABA,08/09/18,179.31,180.63,176.76,177.19,35216219,-0.33,-0.19%
BABA,08/08/18,180.00,180.18,176.55,177.52,21144297,-2.40,-1.33%
BABA,08/07/18,180.29,183.00,179.74,179.92,20614648,1.30,0.73%
BABA,08/06/18,180.70,180.86,177.49,178.62,35414519,-2.22,-1.23%
BABA,08/03/18,184.15,184.50,180.08,180.84,18185000,-1.76,-0.96%
BABA,08/02/18,181.54,182.90,179.78,182.60,20967950,-2.67,-1.44%
BABA,08/01/18,186.00,189.06,183.96,185.27,14367194,-1.96,-1.05%
BABA,07/31/18,186.40,188.95,183.99,187.23,16999247,2.41,1.30%
BABA,07/30/18,190.22,190.59,182.06,184.82,19891864,-4.60,-2.43%
BABA,07/27/18,196.10,196.27,186.93,189.42,19916500,-4.76,-2.45%
BABA,07/26/18,193.21,196.12,192.62,194.18,13872005,-3.80,-1.92%
BABA,07/25/18,,198.35,190.14,197.98,20775040,8.98,4.75%
BABA,07/24/18,190.19,193.07,188.35,189.00,18412893,1.96,1.05%
BABA,07/23/18,187.18,187.81,184.80,187.04,10990860,-0.21,-0.11%
BABA,07/20/18,189.49,189.50,186.61,187.25,12812654,-0.09,-0.05%
BABA,07/19/18,188.68,189.66,186.87,187.34,13369934,-3.45,-1.81%
BABA,07/18/18,192.45,193.23,189.93,190.79,10795658,-1.87,-0.97%
BABA,07/17/18,188.65,192.95,187.90,192.66,13263415,2.31,1.21%
BABA,07/16/18,189.57,191.37,189.15,190.35,12202563,0.31,0.16%
BABA,07/13/18,191.61,192.12,189.30,190.04,12557906,-0.13,-0.07%
BABA,07/12/18,190.77,192.58,190.06,190.17,17414029,2.75,1.47%
BABA,07/11/18,188.60,190.00,187.42,187.42,15944000,-5.13,-2.66%
BABA,07/10/18,192.89,195.13,191.48,192.55,12572304,-0.20,-0.10%
BABA,07/09/18,194.45,194.69,190.87,192.75,15459251,0.48,0.25%
BABA,07/06/18,186.01,192.49,185.55,192.27,17035621,5.39,2.88%
BABA,07/05/18,187.17,187.44,182.90,186.88,18406632,2.13,1.15%
BABA,07/03/18,,184.75,184.75,184.75,0,-1.61,-0.86%
BABA,07/02/18,181.66,186.36,181.06,186.36,17323209,0.83,0.45%
BABA,06/29/18,,188.97,184.26,185.53,26023406,-2.85,-1.51%
BABA,06/28/18,183.20,188.96,182.04,188.38,19551158,3.36,1.82%
BABA,06/27/18,193.46,193.60,184.89,185.02,23880971,-6.40,-3.34%
BABA,06/26/18,193.34,193.66,188.42,191.42,20729080,0.17,0.09%
BABA,06/25/18,197.85,198.10,187.86,191.25,32738992,-10.76,-5.33%
BABA,06/22/18,203.38,203.80,200.26,202.01,9623582,-0.20,-0.10%
BABA,06/21/18,205.84,206.00,201.04,202.21,13962118,-4.02,-1.95%
BABA,06/20/18,205.05,207.23,205.02,206.23,15555702,1.80,0.88%
BABA,06/19/18,203.53,204.51,199.50,204.43,24473456,-4.14,-1.98%
BABA,06/18/18,205.16,208.60,203.89,208.57,14613399,0.57,0.27%
BABA,06/15/18,,210.08,210.86,208.00,28665573,-2.86,-1.36%
BABA,06/14/18,207.72,211.12,207.51,210.86,18825896,4.24,2.05%
BABA,06/13/18,209.44,209.65,206.60,206.62,13838425,-2.46,-1.18%
BABA,06/12/18,206.95,209.80,206.90,209.08,15902707,3.38,1.64%
BABA,06/11/18,206.50,207.60,205.01,205.70,12058795,0.63,0.31%
BABA,06/08/18,201.11,206.23,200.45,205.07,17525218,1.45,0.71%
BABA,06/07/18,207.46,209.00,200.88,203.62,26725545,-4.68,-2.25%
BABA,06/06/18,,,207.29,208.30,13788640,-0.07,-0.03%
BABA,06/05/18,209.95,211.70,207.13,208.37,17783323,-0.58,-0.28%
BABA,06/04/18,205.12,209.75,204.73,208.95,19353171,4.61,2.26%
BABA,06/01/18,199.50,204.99,199.45,204.34,23131917,6.33,3.20%
BABA,05/31/18,198.00,199.48,196.85,198.01,17978025,0.03,0.02%
BABA,05/30/18,199.70,200.54,197.50,197.98,13928056,-0.02,-0.01%
BABA,05/29/18,197.94,202.28,197.00,198.00,18762640,-1.20,-0.60%
BABA,05/25/18,,199.20,199.20,199.20,0,1.83,0.93%
BABA,05/24/18,198.12,199.72,195.70,197.37,18521690,0.57,0.29%
BABA,05/23/18,193.88,196.90,192.80,196.80,12803026,0.93,0.47%
BABA,05/22/18,198.30,198.63,195.70,195.87,9697430,-1.77,-0.90%
BABA,05/21/18,197.80,199.79,196.40,197.64,13826436,2.64,1.35%
BABA,05/18/18,196.43,197.78,194.72,195.00,14242305,-1.02,-0.52%
BABA,05/17/18,196.00,198.40,195.57,196.02,13456418,-2.09,-1.05%
BABA,05/16/18,196.75,199.75,196.30,198.11,12880758,1.50,0.76%
BABA,05/15/18,195.23,196.78,193.86,196.61,12688291,-2.03,-1.02%
BABA,05/14/18,195.90,200.00,195.87,198.64,17623867,4.28,2.20%
BABA,05/11/18,196.40,196.46,193.38,194.36,12741110,-1.60,-0.82%
BABA,05/10/18,196.30,199.77,195.16,195.96,21287713,0.53,0.27%
BABA,05/09/18,195.84,197.38,194.50,195.43,13769823,-0.88,-0.45%
BABA,05/08/18,194.20,197.34,193.01,196.31,21853911,0.96,0.49%
BABA,05/07/18,190.41,196.60,190.30,195.35,29843915,6.46,3.42%
