Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
FB,08/10/18,182.04,182.10,179.42,180.26,21500400,-2.83,-1.55%
FB,08/09/18,185.85,186.57,182.48,183.09,19718583,-2.09,-1.13%
FB,08/08/18,184.75,186.85,183.76,185.18,22197811,1.37,0.75%
FB,08/07/18,186.50,188.30,183.72,183.81,33376473,-1.88,-1.01%
FB,08/06/18,178.97,185.79,178.38,185.69,49691559,7.91,4.45%
FB,08/03/18,177.69,178.85,176.15,177.78,24763400,1.41,0.80%
FB,08/02/18,170.68,176.79,170.27,176.37,32386198,4.72,2.75%
FB,08/01/18,173.93,175.08,170.90,171.65,34025884,-0.93,-0.54%
FB,07/31/18,170.67,174.24,170.00,172.58,40308186,1.52,0.89%
FB,07/30/18,175.30,175.30,166.56,171.06,65253897,-3.83,-2.19%
FB,07/27/18,179.87,179.93,173.00,174.89,60073700,-1.37,-0.78%
FB,07/26/18,174.89,180.00,173.75,176.26,169633085,-41.24,-18.96%
FB,07/25/18,215.71,218.62,214.27,217.50,63344153,2.83,1.32%
FB,07/24/18,215.11,216.20,212.60,214.67,28448667,3.76,1.78%
FB,07/23/18,210.58,211.62,208.80,210.91,16704546,0.97,0.46%
FB,07/20/18,208.85,211.50,208.50,209.94,16241508,1.85,0.89%
FB,07/19/18,208.77,209.98,207.76,208.09,11344040,-1.27,-0.61%
FB,07/18/18,209.82,210.99,208.44,209.36,15332303,-0.63,-0.30%
FB,07/17/18,204.90,210.46,204.84,209.99,15343813,2.76,1.33%
FB,07/16/18,207.50,208.72,206.84,207.23,11063274,-0.09,-0.04%
FB,07/13/18,,,,207.32,11503401,0.40,0.19%
FB,07/12/18,203.43,207.05,203.24,206.92,15448708,4.38,2.16%
FB,07/11/18,202.22,204.50,201.75,202.54,12923104,-1.00,-0.49%
FB,07/10/18,204.50,204.91,202.26,203.54,13153186,-1.20,-0.59%
FB,07/09/18,204.93,205.80,202.12,204.74,18141337,1.51,0.74%
FB,07/06/18,198.45,203.64,197.70,203.23,19740131,4.78,2.41%
FB,07/05/18,194.74,198.65,194.03,198.45,19643640,5.72,2.97%
FB,07/03/18,,192.73,192.73,192.73,0,-4.63,-2.35%
FB,07/02/18,193.37,197.45,192.31,197.36,13942090,3.04,1.56%
FB,06/29/18,,197.60,193.96,194.32,15811602,-1.91,-0.97%
FB,06/28/18,195.18,197.34,193.40,196.23,18163069,0.39,0.20%
FB,06/27/18,199.18,200.75,195.80,195.84,18720269,-3.16,-1.59%
FB,06/26/18,197.60,199.10,196.23,199.00,17891620,2.65,1.35%
FB,06/25/18,200.00,200.00,193.11,196.35,25268422,-5.39,-2.67%
FB,06/22/18,201.16,202.24,199.40,201.74,17420188,0.24,0.12%
FB,06/21/18,202.76,203.39,200.09,201.50,19042658,-0.50,-0.25%
FB,06/20/18,199.10,203.55,198.80,202.00,28214946,4.51,2.28%
FB,06/19/18,,197.96,193.79,197.49,19985956,-0.82,-0.41%
FB,06/18/18,194.80,199.58,194.13,198.31,16797790,2.46,1.26%
FB,06/15/18,,197.07,196.81,195.85,21860931,-0.96,-0.49%
FB,06/14/18,193.10,197.28,192.91,196.81,19118791,4.40,2.29%
FB,06/13/18,192.74,194.50,191.91,192.41,15852041,0.01,0.01%
FB,06/12/18,192.17,193.28,191.56,192.40,11550569,0.86,0.45%
FB,06/11/18,188.81,192.60,188.80,191.54,12920049,2.44,1.29%
FB,06/08/18,187.53,189.48,186.43,189.10,12677092,0.92,0.49%
FB,06/07/18,190.75,190.97,186.77,188.18,21495423,-3.16,-1.65%
FB,06/06/18,,,189.11,191.34,22553528,-1.60,-0.83%
FB,06/05/18,194.30,195.00,192.62,192.94,15504851,-0.34,-0.18%
FB,06/04/18,191.84,193.98,191.47,193.28,18935608,-0.71,-0.37%
FB,06/01/18,193.07,194.55,192.07,193.99,17307245,2.21,1.15%
FB,05/31/18,187.87,192.72,187.48,191.78,30773725,4.11,2.19%
FB,05/30/18,186.54,188.00,185.25,187.67,13734189,1.93,1.04%
FB,05/29/18,184.34,186.81,183.71,185.74,16396576,0.82,0.44%
FB,05/25/18,,184.92,184.92,184.92,0,-1.01,-0.54%
FB,05/24/18,185.88,186.80,185.03,185.93,12352634,-0.97,-0.52%
FB,05/23/18,182.50,186.91,182.20,186.90,16627073,3.10,1.69%
FB,05/22/18,184.93,185.42,183.43,183.80,12303879,-0.69,-0.37%
FB,05/21/18,183.77,185.30,183.13,184.49,13531829,1.81,0.99%
FB,05/18/18,183.49,184.19,182.61,182.68,13130451,-1.08,-0.59%
FB,05/17/18,182.68,184.06,182.22,183.76,14838869,0.56,0.31%
FB,05/16/18,183.70,184.32,182.66,183.20,16974033,-1.12,-0.61%
FB,05/15/18,184.88,185.29,183.20,184.32,15423001,-2.32,-1.24%
FB,05/14/18,187.71,187.86,186.20,186.64,15639756,-0.35,-0.19%
FB,05/11/18,184.85,188.32,184.18,186.99,21207848,1.46,0.79%
FB,05/10/18,183.15,186.13,182.50,185.53,21061512,2.87,1.57%
FB,05/09/18,179.67,183.01,178.78,182.66,23278234,3.74,2.09%
