Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
F,08/10/18,9.910,9.910,9.720,9.740,39180400,-0.17,-1.72%
F,08/09/18,10.06,10.07,9.900,9.910,35671812,-0.14,-1.39%
F,08/08/18,10.05,10.10,10.04,10.05,22601601,-0.03,-0.30%
F,08/07/18,10.04,10.10,10.02,10.08,27961031,0.05,0.50%
F,08/06/18,10.00,10.05,9.970,10.03,22245452,-0.01,-0.10%
F,08/03/18,9.930,10.06,9.930,10.04,25925100,0.12,1.21%
F,08/02/18,9.900,9.980,9.840,9.920,40316145,0.02,0.20%
F,08/01/18,10.06,10.08,9.820,9.900,44120166,-0.14,-1.39%
F,07/31/18,10.11,10.11,10.00,10.04,38023756,-0.03,-0.30%
F,07/30/18,9.960,10.10,9.930,10.07,35875459,0.14,1.41%
F,07/27/18,9.960,10.05,9.910,9.930,46178700,0.04,0.40%
F,07/26/18,10.14,10.16,9.840,9.890,103868154,-0.63,-5.99%
F,07/25/18,10.32,10.57,10.12,10.52,92660798,-0.05,-0.47%
F,07/24/18,10.51,10.74,10.50,10.57,47300136,0.10,0.96%
F,07/23/18,10.56,10.56,10.42,10.47,34935583,-0.09,-0.85%
F,07/20/18,10.68,10.72,10.51,10.56,41673254,-0.26,-2.40%
F,07/19/18,10.89,10.90,10.77,10.82,40293550,-0.05,-0.46%
F,07/18/18,10.85,10.89,10.81,10.87,36414813,0.01,0.09%
F,07/17/18,10.80,10.89,10.80,10.86,37582515,0.01,0.09%
F,07/16/18,10.95,10.97,10.76,10.85,46156833,-0.13,-1.18%
F,07/13/18,11.02,11.05,10.91,10.98,36567189,-0.07,-0.63%
F,07/12/18,11.10,11.14,11.00,11.05,27022450,-0.02,-0.18%
F,07/11/18,11.15,11.17,11.05,11.07,30025081,-0.18,-1.60%
F,07/10/18,11.20,11.26,11.17,11.25,21219419,0.05,0.45%
F,07/09/18,11.10,11.26,11.03,11.20,23912436,0.14,1.27%
F,07/06/18,11.04,11.10,10.92,11.06,25671874,0.01,0.09%
F,07/05/18,11.10,11.14,11.02,11.05,30255047,0.06,0.55%
F,07/03/18,,10.99,10.99,10.99,0,-0.11,-0.99%
F,07/02/18,11.02,11.11,10.91,11.10,37879114,0.03,0.27%
F,06/29/18,11.32,11.37,11.03,11.07,44718473,-0.21,-1.86%
F,06/28/18,11.37,11.40,11.15,11.28,43835847,-0.14,-1.23%
F,06/27/18,11.54,11.64,11.40,11.42,27240781,-0.10,-0.87%
F,06/26/18,11.56,11.63,11.49,11.52,36627272,0.02,0.17%
F,06/25/18,11.63,11.67,11.38,11.50,36093088,-0.15,-1.29%
F,06/22/18,11.75,11.87,11.62,11.65,38207303,-0.06,-0.51%
F,06/21/18,11.80,11.83,11.64,11.71,33311856,-0.16,-1.35%
F,06/20/18,11.97,12.05,11.83,11.87,31961242,-0.02,-0.17%
F,06/19/18,11.82,11.89,11.67,11.89,40061175,-0.10,-0.83%
F,06/18/18,11.82,12.04,11.81,11.99,32705092,0.11,0.93%
