Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
GOOG,08/01/18,1228,1233,1210,1220,1567243,2.75,0.23%
GOOG,07/31/18,1220,1228,1206,1217,1644409,-2.48,-0.20%
GOOG,07/30/18,1228,1235,1211,1220,1849727,-18.76,-1.51%
GOOG,07/27/18,1271,1274,1231,1238,2130500,-29.83,-2.35%
GOOG,07/26/18,1251,1270,1249,1268,2404812,4.63,0.37%
GOOG,07/25/18,,1266,1248,1264,2138321,15.62,1.25%
GOOG,07/24/18,1263,1266,1236,1248,3317338,42.58,3.53%
GOOG,07/23/18,1181,1206,1181,1206,2613360,20.59,1.74%
GOOG,07/20/18,1187,1197,1184,1185,1248400,-2.05,-0.17%
GOOG,07/19/18,1191,1199,1183,1187,1276146,-8.92,-0.75%
GOOG,07/18/18,1197,1204,1190,1196,1393376,-2.92,-0.24%
GOOG,07/17/18,1172,1203,1172,1199,1609311,14.94,1.26%
GOOG,07/16/18,1189,1191,1179,1184,1055096,-4.96,-0.42%
GOOG,07/13/18,1185,1195,1180,1189,1222072,5.34,0.45%
GOOG,07/12/18,,1184,1156,1183,1251701,29.58,2.56%
GOOG,07/11/18,1145,1164,1141,1154,1119528,1.06,0.09%
GOOG,07/10/18,1157,1160,1150,1153,796928,-1.21,-0.10%
GOOG,07/09/18,1148,1155,1143,1154,908397,13.88,1.22%
GOOG,07/06/18,1124,1141,1121,1140,996079,15.90,1.41%
GOOG,07/05/18,,1127,1108,1124,1066182,21.38,1.94%
GOOG,07/03/18,,1103,1103,1103,0,-24.57,-2.18%
GOOG,07/02/18,1099,1128,1094,1127,1217164,11.81,1.06%
GOOG,06/29/18,1120,1128,1115,1116,1315121,1.43,0.13%
GOOG,06/28/18,1102,1122,1096,1114,1072410,10.24,0.93%
GOOG,06/27/18,1121,1132,1104,1104,1293339,-14.48,-1.29%
GOOG,06/26/18,1128,1133,1117,1118,1562198,-6.35,-0.56%
GOOG,06/25/18,1144,1144,1113,1125,2157187,-30.67,-2.65%
GOOG,06/22/18,1159,1162,1148,1155,1310967,-2.18,-0.19%
