Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
IBM,08/10/18,144.50,145.07,143.88,144.48,3003100,-0.29,-0.20%
IBM,08/09/18,145.53,145.94,144.73,144.77,3093504,-2.12,-1.44%
IBM,08/08/18,147.33,147.43,146.24,146.89,3581346,-0.12,-0.08%
IBM,08/07/18,146.65,147.64,146.35,147.01,3505629,0.98,0.67%
IBM,08/06/18,146.95,147.20,145.57,146.03,3913433,-1.67,-1.13%
IBM,08/03/18,143.24,147.92,143.00,147.70,8053500,4.74,3.32%
IBM,08/02/18,142.86,143.36,142.33,142.96,3841347,-0.54,-0.38%
IBM,08/01/18,144.76,145.19,143.34,143.50,3387570,-1.43,-0.99%
IBM,07/31/18,145.74,145.80,144.16,144.93,5474454,-0.56,-0.38%
IBM,07/30/18,144.80,146.24,144.69,145.49,3608258,0.34,0.23%
IBM,07/27/18,146.89,147.14,144.66,145.15,3749600,-1.56,-1.06%
IBM,07/26/18,147.43,149.27,146.63,146.71,4776840,0.09,0.06%
IBM,07/25/18,146.01,146.65,145.50,146.62,3632432,0.24,0.16%
IBM,07/24/18,146.70,147.04,145.92,146.38,3891620,0.68,0.47%
IBM,07/23/18,146.35,146.70,145.01,145.70,3896752,-0.65,-0.44%
IBM,07/20/18,148.58,148.86,146.26,146.35,6415972,-2.89,-1.94%
IBM,07/19/18,147.85,150.50,147.25,149.24,14655337,4.72,3.27%
IBM,07/18/18,143.51,144.80,142.74,144.52,6923611,1.03,0.72%
IBM,07/17/18,144.75,145.00,143.34,143.49,5096731,-1.97,-1.35%
IBM,07/16/18,145.67,145.79,144.21,145.46,3468667,-0.44,-0.30%
IBM,07/13/18,146.45,146.98,145.80,145.90,3067638,-0.55,-0.38%
IBM,07/12/18,,146.83,145.74,146.45,3117802,1.51,1.04%
IBM,07/11/18,144.00,146.19,144.00,144.94,3525564,0.23,0.16%
IBM,07/10/18,144.51,145.59,144.26,144.71,3775080,0.32,0.22%
IBM,07/09/18,142.59,144.72,142.47,144.39,3903667,1.91,1.34%
IBM,07/06/18,141.53,142.94,141.17,142.48,2910426,1.05,0.74%
IBM,07/05/18,,141.43,139.93,141.43,3726886,1.86,1.33%
IBM,07/03/18,,139.57,139.57,139.57,0,-0.29,-0.21%
IBM,07/02/18,138.28,140.22,138.20,139.86,3405642,0.16,0.11%
IBM,06/29/18,140.32,141.36,139.61,139.70,3753684,-0.34,-0.24%
IBM,06/28/18,138.10,140.54,137.95,140.04,4523456,2.56,1.86%
IBM,06/27/18,139.11,139.78,137.45,137.48,4097688,-1.60,-1.15%
IBM,06/26/18,139.36,139.85,138.33,139.08,4134653,0.29,0.21%
IBM,06/25/18,140.40,140.40,138.28,138.79,8936729,-2.49,-1.76%
IBM,06/22/18,141.64,141.81,140.78,141.28,6013678,0.03,0.02%
