Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
I,08/10/18,24.50,25.21,24.11,24.21,2295100,-0.54,-2.18%
I,08/09/18,24.56,25.20,23.76,24.75,1941169,0.26,1.06%
I,08/08/18,24.18,25.05,24.00,24.49,2176514,0.18,0.74%
I,08/07/18,23.05,24.51,22.99,24.31,3549224,1.00,4.29%
I,08/06/18,21.93,23.37,21.71,23.31,2336540,1.56,7.17%
I,08/03/18,22.38,22.46,21.35,21.75,1720600,-0.53,-2.38%
I,08/02/18,21.14,22.44,21.03,22.28,3609481,1.19,5.64%
I,08/01/18,19.35,21.16,19.32,21.09,3692522,1.59,8.15%
I,07/31/18,19.62,20.70,18.51,19.50,5974257,-1.06,-5.16%
I,07/30/18,20.35,21.23,20.06,20.56,2850856,0.29,1.43%
I,07/27/18,20.16,21.10,19.84,20.27,2476800,0.21,1.05%
I,07/26/18,19.66,20.72,19.38,20.06,2954654,0.22,1.11%
I,07/25/18,19.44,19.95,19.11,19.84,2062344,0.36,1.85%
I,07/24/18,18.72,19.59,18.70,19.48,3028936,0.86,4.62%
I,07/23/18,18.79,18.95,17.77,18.62,3360232,-0.38,-2.00%
I,07/20/18,19.40,19.55,18.64,19.00,2410436,-0.50,-2.56%
I,07/19/18,18.85,19.63,18.63,19.50,2855770,0.69,3.67%
I,07/18/18,20.23,20.34,18.60,18.81,3895927,-1.37,-6.79%
I,07/17/18,20.41,20.78,20.01,20.18,2078104,-0.20,-0.98%
I,07/16/18,20.76,21.29,19.91,20.38,3203440,-0.32,-1.55%
I,07/13/18,19.54,21.46,19.53,20.70,5874557,1.08,5.50%
I,07/12/18,18.00,19.87,17.46,19.62,7084741,2.18,12.50%
I,07/11/18,18.26,18.28,17.41,17.44,2014626,-0.84,-4.60%
I,07/10/18,18.16,18.63,18.00,18.28,1722091,0.11,0.61%
I,07/09/18,18.12,18.39,17.53,18.17,2012634,0.29,1.62%
I,07/06/18,17.18,18.18,16.86,17.88,2470851,0.67,3.89%
I,07/05/18,16.81,17.27,16.45,17.21,1768937,0.37,2.20%
I,07/03/18,,16.84,16.84,16.84,0,-0.02,-0.12%
I,07/02/18,16.55,17.08,15.90,16.86,2688892,0.20,1.20%
I,06/29/18,16.75,17.36,16.50,16.66,3341025,0.12,0.73%
I,06/28/18,17.17,17.63,15.56,16.54,6380969,-0.66,-3.84%
I,06/27/18,20.91,21.05,17.09,17.20,11600672,-0.16,-0.92%
I,06/26/18,17.10,18.19,17.02,17.36,3145911,0.36,2.12%
I,06/25/18,17.70,18.04,16.82,17.00,2683127,-0.63,-3.57%
I,06/22/18,19.64,19.95,17.22,17.63,5881527,-1.93,-9.87%
I,06/21/18,19.45,19.81,18.67,19.56,5538491,0.24,1.24%
I,06/20/18,17.54,20.60,17.05,19.32,12191554,3.26,20.30%
I,06/19/18,16.50,16.79,15.86,16.06,4568677,-0.46,-2.78%
I,06/18/18,17.52,17.79,16.32,16.52,3001124,-1.07,-6.08%
I,06/15/18,,16.83,16.83,17.59,4093998,0.76,4.52%
I,06/14/18,15.88,17.03,15.81,16.83,3330837,1.02,6.45%
I,06/13/18,16.06,16.59,15.61,15.81,4963434,-0.16,-1.00%
I,06/12/18,15.39,16.07,15.38,15.97,13243581,1.13,7.61%
I,06/11/18,15.39,16.67,14.75,14.84,8956177,-1.69,-10.22%
I,06/08/18,16.79,17.44,16.34,16.53,3046894,-0.17,-1.02%
I,06/07/18,16.75,18.14,16.25,16.70,4789002,-1.67,-9.09%
I,06/06/18,17.91,18.61,17.91,18.37,2927274,0.61,3.43%
I,06/05/18,16.91,18.12,16.80,17.76,3523461,0.64,3.74%
I,06/04/18,17.01,17.24,16.65,17.12,2936522,0.13,0.77%
I,06/01/18,17.08,17.96,15.74,16.99,6067220,-0.86,-4.82%
I,05/31/18,16.17,19.10,16.17,17.85,7357596,1.78,11.08%
I,05/30/18,15.75,16.37,15.57,16.07,3917502,0.34,2.16%
I,05/29/18,15.19,16.15,15.11,15.73,2700407,0.44,2.88%
I,05/25/18,,15.29,15.29,15.29,0,-1.39,-8.33%
I,05/24/18,16.20,17.22,16.01,16.68,4964327,0.38,2.33%
I,05/23/18,14.50,16.42,14.38,16.30,4768762,1.76,12.10%
I,05/22/18,14.82,15.23,14.50,14.54,2527222,-0.19,-1.29%
I,05/21/18,14.20,14.90,13.73,14.73,2174680,0.61,4.32%
I,05/18/18,14.39,14.83,14.08,14.12,2103282,-0.24,-1.67%
I,05/17/18,13.69,14.45,13.64,14.36,4373921,0.67,4.89%
I,05/16/18,13.69,13.79,13.17,13.69,2326958,0.02,0.15%
I,05/15/18,13.52,14.08,13.25,13.67,2169787,0.00,0.00%
I,05/14/18,14.38,14.53,13.45,13.67,2572227,-0.39,-2.77%
I,05/11/18,12.93,14.86,12.90,14.06,4330502,1.13,8.74%
I,05/10/18,13.19,13.82,12.70,12.93,3987672,-0.19,-1.45%
I,05/09/18,12.26,13.43,12.22,13.12,4556296,0.74,5.98%
I,05/08/18,12.60,12.83,12.33,12.38,2687860,-0.19,-1.51%
I,05/07/18,12.17,13.04,11.95,12.57,5909090,0.57,4.75%
