Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
LMT,08/09/18,314.79,316.50,312.67,315.71,1048376,0.40,0.13%
LMT,08/08/18,317.50,317.78,314.21,315.31,922718,-2.10,-0.66%
LMT,08/07/18,317.24,318.24,313.58,317.41,1088570,0.49,0.15%
LMT,08/06/18,318.61,318.61,313.68,316.92,1736684,-3.63,-1.13%
LMT,08/03/18,322.62,322.62,319.11,320.55,945400,-1.47,-0.46%
LMT,08/02/18,322.53,323.15,320.24,322.02,820352,-2.91,-0.90%
LMT,08/01/18,325.59,326.07,322.57,324.93,1392255,-1.17,-0.36%
LMT,07/31/18,321.38,326.43,321.38,326.10,986643,5.99,1.87%
LMT,07/30/18,324.10,325.99,319.62,320.11,1269825,-3.98,-1.23%
LMT,07/27/18,324.40,325.14,321.79,324.09,1009800,1.15,0.36%
LMT,07/26/18,324.83,325.87,321.17,322.94,2011814,-1.42,-0.44%
LMT,07/25/18,323.05,324.97,316.67,324.36,2104689,1.79,0.55%
LMT,07/24/18,325.00,329.65,313.00,322.57,3253423,4.24,1.33%
LMT,07/23/18,322.55,323.50,316.79,318.33,1584892,-4.22,-1.31%
LMT,07/20/18,318.35,322.85,317.44,322.55,1567858,2.95,0.92%
LMT,07/19/18,319.30,320.86,318.18,319.60,760025,-0.17,-0.05%
LMT,07/18/18,317.71,320.58,316.50,319.77,860581,2.27,0.71%
LMT,07/17/18,319.89,320.98,316.12,317.50,867876,-1.55,-0.49%
LMT,07/16/18,319.38,323.38,317.58,319.05,1303410,0.68,0.21%
LMT,07/13/18,313.68,319.50,313.52,318.37,1662719,5.06,1.62%
LMT,07/12/18,309.40,314.47,308.80,313.31,1283281,6.73,2.20%
LMT,07/11/18,307.83,309.38,305.93,306.58,895953,-2.25,-0.73%
LMT,07/10/18,308.11,310.91,307.21,308.83,1525066,2.35,0.77%
LMT,07/09/18,301.00,307.47,300.36,306.48,1244464,7.29,2.44%
LMT,07/06/18,298.41,301.51,296.54,299.19,1123447,0.00,0.00%
LMT,07/05/18,300.28,303.16,297.19,299.19,986260,-0.27,-0.09%
LMT,07/03/18,,299.46,299.46,299.46,0,0.34,0.11%
LMT,07/02/18,294.17,299.30,292.32,299.12,977888,3.69,1.25%
LMT,06/29/18,297.48,299.98,295.26,295.43,1267894,0.19,0.06%
LMT,06/28/18,295.00,296.71,291.52,295.24,1424348,0.46,0.16%
LMT,06/27/18,299.39,302.12,294.54,294.78,1523449,-4.30,-1.44%
LMT,06/26/18,298.81,300.43,297.08,299.08,1670813,0.31,0.10%
LMT,06/25/18,297.35,303.33,296.07,298.77,1944787,-0.61,-0.20%
LMT,06/22/18,301.38,301.81,298.69,299.38,1405068,-1.00,-0.33%
LMT,06/21/18,302.65,302.86,298.11,300.38,1517323,-2.48,-0.82%
LMT,06/20/18,302.37,304.97,301.23,302.86,1620765,0.34,0.11%
LMT,06/19/18,306.72,307.63,301.65,302.52,1821401,-7.00,-2.26%
LMT,06/18/18,307.38,310.00,306.00,309.52,1261077,-0.62,-0.20%
LMT,06/15/18,,310.59,310.59,310.14,1786252,-0.45,-0.14%
LMT,06/14/18,314.54,315.80,310.01,310.59,1395653,-3.76,-1.20%
LMT,06/13/18,314.67,317.80,312.67,314.35,2014213,-0.81,-0.26%
LMT,06/12/18,319.63,320.03,311.25,315.16,1743065,-4.14,-1.30%
LMT,06/11/18,322.12,322.62,319.16,319.30,911014,-3.01,-0.93%
LMT,06/08/18,321.73,322.60,318.10,322.31,1260300,0.36,0.11%
LMT,06/07/18,320.50,322.15,318.93,321.95,1087837,2.04,0.64%
LMT,06/06/18,320.77,321.88,318.51,319.91,1083413,-0.11,-0.03%
LMT,06/05/18,318.11,321.24,317.49,320.02,873082,1.85,0.58%
LMT,06/04/18,317.11,319.25,316.22,318.17,667302,1.54,0.49%
LMT,06/01/18,316.92,317.80,315.47,316.63,886891,2.09,0.66%
LMT,05/31/18,319.24,320.28,314.47,314.54,1452482,-6.50,-2.02%
LMT,05/30/18,319.03,321.81,317.16,321.04,901406,3.84,1.21%
LMT,05/29/18,319.67,320.69,315.36,317.20,1159717,-3.60,-1.12%
LMT,05/25/18,,320.80,320.80,320.80,0,-5.55,-1.70%
LMT,05/24/18,324.66,329.13,323.34,326.35,1211815,1.03,0.32%
LMT,05/23/18,315.83,325.53,314.13,325.32,1603245,8.19,2.58%
LMT,05/22/18,323.26,323.60,317.04,317.13,1502029,-7.15,-2.20%
LMT,05/21/18,322.50,324.53,321.16,324.28,1001485,3.83,1.20%
LMT,05/18/18,320.76,322.00,319.80,320.45,1013897,0.03,0.01%
LMT,05/17/18,319.00,321.50,317.40,320.42,961614,1.09,0.34%
LMT,05/16/18,320.10,321.71,318.84,319.33,915812,-0.44,-0.14%
LMT,05/15/18,317.75,320.35,317.00,319.77,1131005,0.69,0.22%
LMT,05/14/18,323.25,323.98,317.44,319.08,1417105,-4.96,-1.53%
LMT,05/11/18,324.69,325.86,322.76,324.04,844941,-0.45,-0.14%
LMT,05/10/18,328.48,329.02,322.95,324.49,1261524,-1.63,-0.50%
LMT,05/09/18,325.62,328.55,324.70,326.12,1700028,1.93,0.60%
LMT,05/08/18,317.71,325.39,317.30,324.19,2949352,6.48,2.04%
LMT,05/07/18,312.23,317.92,312.09,317.71,1816953,6.27,2.01%
LMT,05/04/18,308.11,312.70,307.26,311.44,1675455,1.51,0.49%
LMT,05/03/18,303.95,310.50,300.50,309.93,2889886,4.23,1.38%
LMT,05/02/18,307.28,313.40,305.20,305.70,2643810,-2.76,-0.89%
LMT,05/01/18,320.49,321.24,302.09,308.46,3880005,-12.38,-3.86%
LMT,04/30/18,322.35,325.46,320.20,320.84,1451110,-1.19,-0.37%
LMT,04/27/18,329.95,330.23,321.70,322.03,1580559,-8.37,-2.53%
LMT,04/26/18,330.00,334.86,324.13,330.40,1847433,0.90,0.27%
