Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
TSLA,10/31/18,332.54,342.00,329.10,337.32,7621452,7.42,2.25%
TSLA,10/30/18,328.39,337.90,322.26,329.90,9123093,-4.95,-1.48%
TSLA,10/29/18,337.47,347.16,326.50,334.85,14474784,3.95,1.19%
TSLA,10/26/18,308.25,339.90,306.65,330.90,27425500,16.04,5.09%
TSLA,10/25/18,317.22,321.00,301.01,314.86,20818845,26.36,9.14%
TSLA,10/24/18,301.05,304.44,285.73,288.50,19930701,-5.64,-1.92%
TSLA,10/23/18,263.87,297.93,262.10,294.14,18993423,33.19,12.72%
TSLA,10/22/18,260.68,261.86,252.59,260.95,5598628,0.95,0.37%
TSLA,10/19/18,267.39,269.66,253.50,260.00,9375500,-3.91,-1.48%
TSLA,10/18/18,269.29,271.00,263.00,263.91,5411140,-7.87,-2.90%
TSLA,10/17/18,282.40,282.70,265.80,271.78,8648216,-4.81,-1.74%
TSLA,10/16/18,265.70,277.38,262.24,276.59,9517929,17.00,6.55%
TSLA,10/15/18,259.06,263.28,254.54,259.59,6193962,0.81,0.31%
TSLA,10/12/18,261.00,261.99,252.01,258.78,7201400,6.55,2.60%
TSLA,10/11/18,257.53,262.25,249.03,252.23,8159785,-4.65,-1.81%
TSLA,10/10/18,264.61,265.51,247.77,256.88,12799914,-5.92,-2.25%
TSLA,10/09/18,255.25,266.77,253.30,262.80,12049368,12.24,4.89%
TSLA,10/08/18,264.52,267.76,249.00,250.56,13448447,-11.39,-4.35%
TSLA,10/05/18,274.65,274.88,260.00,261.95,17944500,-19.88,-7.05%
TSLA,10/04/18,293.95,294.00,277.67,281.83,9771108,-12.97,-4.40%
TSLA,10/03/18,303.33,304.60,291.57,294.80,7990022,-6.22,-2.07%
TSLA,10/02/18,313.95,316.84,299.15,301.02,11727651,-9.68,-3.12%
TSLA,10/01/18,305.77,311.44,301.05,310.70,21740393,45.93,17.35%
TSLA,09/28/18,270.26,278.00,260.55,264.77,33649600,-42.75,-13.90%
TSLA,09/27/18,312.90,314.96,306.91,307.52,8325291,-2.06,-0.67%
TSLA,09/26/18,301.91,313.89,301.11,309.58,7842639,8.59,2.85%
TSLA,09/25/18,300.00,304.60,296.50,300.99,4474055,1.31,0.44%
TSLA,09/24/18,298.48,303.00,293.58,299.68,4842077,0.58,0.19%
TSLA,09/21/18,297.70,300.58,295.37,299.10,5050400,0.70,0.23%
TSLA,09/20/18,303.56,305.98,293.33,298.40,7346748,-0.62,-0.21%
TSLA,09/19/18,280.51,300.00,280.50,299.02,8291200,14.06,4.93%
TSLA,09/18/18,296.69,302.64,275.50,284.96,16535912,-9.88,-3.35%
TSLA,09/17/18,290.04,300.87,288.13,294.84,6881856,-0.36,-0.12%
TSLA,09/14/18,288.76,297.33,286.52,295.20,6765600,5.74,1.98%
TSLA,09/13/18,288.02,295.00,285.18,289.46,6336278,-1.08,-0.37%
TSLA,09/12/18,281.44,292.50,278.65,290.54,10011831,11.10,3.97%
TSLA,09/11/18,279.47,282.00,273.55,279.44,9166582,-6.06,-2.12%
TSLA,09/10/18,273.26,286.03,271.00,285.50,14277498,22.26,8.46%
TSLA,09/07/18,260.10,268.35,252.26,263.24,22491900,-17.71,-6.30%
TSLA,09/06/18,284.80,291.17,278.88,280.95,7477284,0.21,0.07%
TSLA,09/05/18,285.05,286.78,277.18,280.74,7710853,-8.21,-2.84%
TSLA,09/04/18,296.94,298.19,288.00,288.95,8334770,-12.71,-4.21%
TSLA,08/31/18,,301.66,301.66,301.66,0,-1.49,-0.49%
TSLA,08/30/18,302.26,304.60,297.72,303.15,7215324,-1.86,-0.61%
TSLA,08/29/18,310.27,311.85,303.69,305.01,7438433,-6.85,-2.20%
TSLA,08/28/18,318.41,318.88,311.19,311.86,7646515,-7.41,-2.32%
TSLA,08/27/18,318.00,322.43,308.81,319.27,13073903,-3.55,-1.10%
TSLA,08/24/18,320.70,323.85,319.40,322.82,3602500,2.72,0.85%
TSLA,08/23/18,319.14,327.32,318.10,320.10,5143046,-1.54,-0.48%
TSLA,08/22/18,320.87,323.88,314.67,321.64,5941336,-0.26,-0.08%
TSLA,08/21/18,310.61,324.79,309.00,321.90,13160805,13.46,4.36%
TSLA,08/20/18,291.70,308.50,288.20,308.44,17396577,2.94,0.96%
TSLA,08/17/18,323.50,326.77,303.53,305.50,18958600,-29.95,-8.93%
TSLA,08/16/18,339.91,342.28,333.82,335.45,6058440,-3.24,-0.96%
TSLA,08/15/18,341.91,344.49,332.14,338.69,9094675,-8.95,-2.57%
TSLA,08/14/18,358.45,359.20,347.10,347.64,6980942,-8.77,-2.46%
TSLA,08/13/18,361.13,363.19,349.02,356.41,10458737,0.92,0.26%
TSLA,08/10/18,354.00,360.00,346.00,355.49,11552000,3.04,0.86%
TSLA,08/09/18,365.55,367.01,345.73,352.45,17150550,-17.89,-4.83%
TSLA,08/08/18,369.09,382.64,367.12,370.34,24565771,-9.23,-2.43%
TSLA,08/07/18,343.84,387.46,339.15,379.57,30823137,37.58,10.99%
TSLA,08/06/18,345.46,354.98,341.82,341.99,8548118,-6.18,-1.78%
TSLA,08/03/18,347.81,355.00,342.53,348.17,13656400,-1.37,-0.39%
TSLA,08/02/18,328.44,349.99,323.16,349.54,23196337,48.70,16.19%
TSLA,08/01/18,297.99,303.00,293.00,300.84,10051152,2.70,0.91%
TSLA,07/31/18,292.25,298.32,289.07,298.14,5074611,7.97,2.75%
TSLA,07/30/18,295.90,296.10,286.13,290.17,6811118,-7.01,-2.36%
TSLA,07/27/18,307.25,307.69,295.34,297.18,5703300,-9.47,-3.09%
TSLA,07/26/18,304.85,310.70,303.64,306.65,4628740,-2.09,-0.68%
TSLA,07/25/18,296.74,309.62,294.50,308.74,7085272,11.31,3.80%
TSLA,07/24/18,304.42,307.72,292.55,297.43,9588634,-5.77,-1.90%
TSLA,07/23/18,301.84,305.50,293.00,303.20,10987274,-10.38,-3.31%
TSLA,07/20/18,321.23,323.24,311.71,313.58,5166547,-6.65,-2.08%
TSLA,07/19/18,316.33,323.54,314.01,320.23,5910806,-3.62,-1.12%
