Symbol,Date,Open,High,Low,Close,Volume,Change,% Change
XNET,08/10/18,10.27,10.46,10.12,10.26,185600,-0.08,-0.77%
XNET,08/09/18,10.08,10.48,10.08,10.34,286276,0.30,2.99%
XNET,08/08/18,10.00,10.22,9.880,10.04,423280,0.10,1.01%
XNET,08/07/18,10.29,10.35,9.930,9.940,520743,-0.28,-2.74%
XNET,08/06/18,10.35,10.35,9.980,10.22,539983,-0.20,-1.92%
XNET,08/03/18,10.66,10.82,10.32,10.42,220500,-0.21,-1.98%
XNET,08/02/18,10.45,10.69,9.880,10.63,636886,0.01,0.09%
XNET,08/01/18,10.54,10.90,10.49,10.62,328721,0.08,0.76%
XNET,07/31/18,10.59,10.82,10.18,10.54,385469,0.01,0.09%
XNET,07/30/18,10.92,11.05,10.48,10.53,483172,-0.48,-4.36%
XNET,07/27/18,11.43,11.43,10.85,11.01,683700,-0.41,-3.59%
XNET,07/26/18,11.79,11.79,11.23,11.42,318332,-0.40,-3.38%
XNET,07/25/18,11.34,11.86,11.34,11.82,247596,0.44,3.87%
XNET,07/24/18,11.60,11.80,11.23,11.38,364188,-0.14,-1.22%
XNET,07/23/18,11.70,11.80,11.50,11.52,213648,-0.17,-1.45%
XNET,07/20/18,11.75,11.97,11.60,11.69,446737,0.02,0.17%
XNET,07/19/18,11.92,11.99,11.58,11.67,324807,-0.28,-2.34%
XNET,07/18/18,12.38,12.42,11.89,11.95,459198,-0.43,-3.47%
XNET,07/17/18,11.77,12.60,11.73,12.38,793366,0.55,4.65%
XNET,07/16/18,11.96,12.24,11.80,11.83,250765,-0.26,-2.15%
XNET,07/13/18,12.05,12.27,11.62,12.09,728221,0.06,0.50%
XNET,07/12/18,12.04,12.15,11.61,12.03,535843,0.04,0.33%
XNET,07/11/18,11.44,12.12,11.38,11.99,606486,0.48,4.17%
XNET,07/10/18,12.17,12.25,11.37,11.51,889100,-0.72,-5.89%
XNET,07/09/18,11.14,12.35,11.12,12.23,948875,1.16,10.48%
XNET,07/06/18,11.02,11.32,10.98,11.07,519681,0.09,0.82%
XNET,07/05/18,,11.23,10.92,10.98,543193,-0.01,-0.09%
XNET,07/03/18,,10.99,10.99,10.99,0,0.08,0.73%
XNET,07/02/18,10.69,11.06,10.54,10.91,446386,0.21,1.96%
XNET,06/29/18,11.32,11.41,10.63,10.70,590107,-0.52,-4.63%
XNET,06/28/18,11.16,11.35,11.14,11.22,533668,0.11,0.99%
XNET,06/27/18,11.68,11.96,11.10,11.11,928926,-0.50,-4.31%
XNET,06/26/18,11.67,11.98,11.60,11.61,482026,-0.05,-0.43%
XNET,06/25/18,12.47,12.72,11.45,11.66,1214661,-1.08,-8.48%
XNET,06/22/18,12.61,12.80,12.27,12.74,692519,0.28,2.25%
XNET,06/21/18,12.90,13.24,12.40,12.46,602913,-0.48,-3.71%
XNET,06/20/18,12.31,13.00,12.11,12.94,937722,0.70,5.72%
XNET,06/19/18,12.50,12.74,11.50,12.24,1598494,-0.71,-5.48%
XNET,06/18/18,12.78,12.99,12.40,12.95,920987,-0.03,-0.23%
XNET,06/15/18,,13.62,13.62,12.98,1639843,-0.64,-4.70%
XNET,06/14/18,13.58,13.72,13.00,13.62,1073610,0.05,0.41%
XNET,06/13/18,13.45,13.83,13.20,13.56,1298585,0.12,0.86%
XNET,06/12/18,15.79,15.84,13.22,13.45,4665842,-2.23,-14.22%
XNET,06/11/18,13.92,15.92,13.83,15.68,4379503,1.87,13.54%
XNET,06/08/18,12.77,13.86,12.62,13.81,2141554,1.00,7.81%
XNET,06/07/18,12.59,12.87,12.51,12.81,392334,0.21,1.67%
XNET,06/06/18,12.79,12.79,12.33,12.60,459861,-0.09,-0.71%
XNET,06/05/18,12.60,13.00,12.56,12.69,662502,0.17,1.36%
XNET,06/04/18,12.48,12.52,12.18,12.52,524973,0.08,0.64%
XNET,06/01/18,12.40,12.50,12.25,12.44,400064,0.07,0.57%
XNET,05/31/18,12.11,12.49,12.11,12.37,606735,0.22,1.81%
XNET,05/30/18,11.86,12.28,11.76,12.15,500903,0.20,1.67%
XNET,05/29/18,11.63,12.12,11.63,11.95,611834,0.14,1.19%
XNET,05/25/18,,11.81,11.81,11.81,0,0.06,0.51%
XNET,05/24/18,11.84,12.00,11.66,11.75,279141,-0.15,-1.26%
XNET,05/23/18,11.84,11.97,11.65,11.90,236780,-0.02,-0.17%
XNET,05/22/18,11.94,12.01,11.53,11.92,452818,0.02,0.17%
XNET,05/21/18,12.00,12.14,11.70,11.90,429218,0.02,0.17%
XNET,05/18/18,11.79,12.12,11.76,11.88,517947,-0.04,-0.34%
XNET,05/17/18,12.32,12.32,11.77,11.92,686916,-0.10,-0.83%
XNET,05/16/18,12.29,12.46,11.88,12.02,571042,-0.08,-0.62%
XNET,05/15/18,13.35,13.35,12.00,12.10,1828925,-1.24,-9.33%
XNET,05/14/18,13.16,13.40,13.15,13.34,738527,0.33,2.54%
XNET,05/11/18,13.08,13.33,12.96,13.01,509187,-0.02,-0.15%
XNET,05/10/18,13.08,13.23,12.93,13.03,293905,0.05,0.39%
XNET,05/09/18,13.21,13.44,12.94,12.98,424167,-0.31,-2.33%
XNET,05/08/18,13.22,13.41,12.96,13.29,415527,0.07,0.53%
XNET,05/07/18,13.43,13.89,13.11,13.22,686644,-0.21,-1.56%
XNET,05/04/18,13.44,13.55,13.13,13.43,333427,0.00,0.00%
XNET,05/03/18,13.12,13.48,13.08,13.43,512495,0.27,2.05%
XNET,05/02/18,13.16,13.47,13.15,13.16,377529,0.00,0.00%
XNET,05/01/18,12.93,13.44,12.90,13.16,479806,0.17,1.31%
XNET,04/30/18,13.11,13.30,12.81,12.99,468508,-0.09,-0.69%
XNET,04/27/18,12.96,13.18,12.74,13.08,432694,0.08,0.62%
XNET,04/26/18,12.85,13.01,12.41,13.00,343266,0.12,0.93%
XNET,04/25/18,12.97,13.02,12.35,12.88,694204,-0.22,-1.68%
XNET,04/24/18,13.44,13.82,12.75,13.10,877385,-0.17,-1.28%
XNET,04/23/18,13.63,13.77,13.02,13.27,766831,-0.19,-1.41%
XNET,04/20/18,13.00,14.20,12.71,13.46,3160555,0.80,6.32%
XNET,04/19/18,12.62,12.69,12.08,12.66,549323,0.04,0.32%
XNET,04/18/18,12.66,12.82,12.21,12.62,508672,0.04,0.32%
XNET,04/17/18,12.16,12.60,12.12,12.58,649455,0.51,4.23%
XNET,04/16/18,11.77,12.13,11.40,12.07,686199,0.24,2.03%
XNET,04/13/18,12.65,12.69,11.68,11.83,1045865,-0.58,-4.67%
XNET,04/12/18,12.27,12.78,12.20,12.41,1346390,0.37,3.07%
XNET,04/11/18,11.85,12.29,11.78,12.04,585286,0.14,1.18%
XNET,04/10/18,11.73,12.16,11.73,11.90,806241,0.41,3.57%
XNET,04/09/18,11.35,11.93,11.25,11.49,795799,0.48,4.36%
XNET,04/06/18,11.20,11.49,10.90,11.01,695156,-0.34,-3.00%
XNET,04/05/18,10.77,11.68,10.77,11.35,1245768,0.71,6.67%
XNET,04/04/18,9.960,10.78,9.855,10.64,1000816,0.36,3.50%
XNET,04/03/18,10.08,10.35,9.980,10.28,771327,0.35,3.52%
XNET,04/02/18,10.02,10.16,9.550,9.930,1220827,-0.16,-1.59%
XNET,03/29/18,,10.09,10.09,10.09,0,0.10,1.00%
XNET,03/28/18,10.02,10.17,9.550,9.990,1593637,-0.11,-1.09%
XNET,03/27/18,10.57,10.79,9.820,10.10,1791440,-0.39,-3.72%
XNET,03/26/18,11.46,11.50,10.29,10.49,2496425,-0.78,-6.92%
XNET,03/23/18,11.54,11.72,11.26,11.27,1201044,-0.47,-4.00%
